#Denominación,Prog.,Econ.,Fecha,NIF,Nombre empresa,Descripción,Importe,Descuentos,
Educación. Ordinario no inventariable,330,22000,31/07/2014,A28078020,"3M ESPAÑA, S.A.","SUMINISTROS BIBLIOTECA, APROBADA CON DECRETO 1253/2014 - NUMERO DE FAC.: 3636086 DE FECHA OPERACION: 04/07/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1326/2014","578,99","0,00",#NAME?
Cultura. Actividades culturales,330,22609,28/02/2014,B84016328,"7 ROJO PRODUCCIONES, S.L.",EXPTE. 1/14: ACTUACION DE JORGE BLASS CON SU SHOW EL ARTE DE LA MAGIA  - APROBADO POR DECRETO Nº 268/2014 - NUMERO DE FAC.: 03/2014 DE FECHA OPERACION: 13/02/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 271/2014,"6.155,00","0,00",#NAME?
Seguridad  y Protección Civil. Vestuario,340,22104,23/12/2014,B87066452,"A&Z WIBO SPORT.,S.L.",SUMINISTRO DE ROPA DEPORTIVA -- INFORME DESFAVO INTERVENCION 912/14 - APROBADO Dº ALCALDIA 2307/14 - NUMERO DE FAC.: 31-20141027 DE FECHA OPERACION: 12/12/2014 Y FECHA REG. INTERVENCIÓN: 30/10/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2308/2014,"1.820,81","0,00",#NAME?
Infancia y Juventud Gastos varios infancia,234,22619,25/08/2014,B86528577,ABANIA ORGANIZACION DE EVENTOS S.L.,"ALQUILER DE HINCHABLES YFIESTA DE LA ESPUM,A SEGUNDA QUINCENA CAMPAMENTOS DE VERANO  - APROBADA CON DECRETO Nº 1.537/2014 - NUMERO DE FAC.: F73/14 DE FECHA OPERACION: 14/08/2014 Y FECHA REG. INTERVENCIÓN: 08/08/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1542/2014","650,00","0,00",#NAME?
Infancia y Juventud Gastos varios infancia,234,22619,08/09/2014,B86528577,ABANIA ORGANIZACION DE EVENTOS S.L.,"ALQUILER DE DOS HINCHABLES Y FIESTA DE LA ESPUMA PARA LA PRIMERA QUINCENA DE LOS CAMPAMENTOS URBANOS, APROBADA CON DECRETO 1507/2014 - NUMERO DE FAC.: F65/14 DE FECHA OPERACION: 11/08/2014 Y FECHA REG. INTERVENCIÓN: 17/07/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1522/2014","650,00","0,00",#NAME?
Infancia y Juventud Gastos varios infancia,234,22619,23/09/2014,B86528577,ABANIA ORGANIZACION DE EVENTOS S.L.,ALQUILER DE UN HINCHABLE Y FIESTA DE LA ESPUMA TERCERA QUINCENA CAMPAMENTOS URBANOS - APROBADO POR DECRETO DE ALCALDIA Nº 1.613/2014 - NUMERO DE FAC.: F78/14 DE FECHA OPERACION: 23/09/2014 Y FECHA REG. INTERVENCIÓN: 19/08/2014,"500,00","0,00",#NAME?
Infancia y Juventud Gastos varios infancia,234,22619,30/09/2014,B86528577,ABANIA ORGANIZACION DE EVENTOS S.L.,ALQUILER HINCHABLE Y FIESTA DE LA ESPUMA - 4ª QUINCENA CAMPAMENTOS URBANOS - APROBADO Dº 1714/2014 - NUMERO DE FAC.: F81/14 DE FECHA OPERACION: 22/09/2014 Y FECHA REG. INTERVENCIÓN: 01/09/2014,"500,00","0,00",#NAME?
Infancia y Juventud Gastos varios infancia,234,22619,16/09/2014,B86528577,ABANIA ORGANIZACION DE EVENTOS S.L.,EXCURSION A CAMPAMENTO MUTIAVENTURA DE BERNUY  - APROBADA CON DECRETO Nº 1.537/2014 - NUMERO DE FAC.: f77/14 DE FECHA OPERACION: 14/08/2014 Y FECHA REG. INTERVENCIÓN: 12/08/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1542/2014,"1.604,46","0,00",#NAME?
Infancia y Juventud Gastos varios infancia,234,22619,30/09/2014,B86528577,ABANIA ORGANIZACION DE EVENTOS S.L.,EXCURSION 53 NIÑOS A CAMPAMENTO MULTIAVENTURA - APROBADO Dº 1714/2014 - NUMERO DE FAC.: F80/14 DE FECHA OPERACION: 22/09/2014 Y FECHA REG. INTERVENCIÓN: 27/08/2014,"1.090,21","0,00",#NAME?
Servicios Sociales..Programa de Emergencia Social,230,22759,27/11/2014,,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDA ECONOMICA EXP SERVICIOS SOCIALES 2014/43 - SEGUN Dº 2083/2014,"200,00","0,00",#NAME?
Servicios Sociales..Programa de Emergencia Social,230,22759,27/11/2014,,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS ECONOMICAS EXP 2014/89 SERVICIOS SOCIALES - SEGUN Dº 2210/2014,"200,00","0,00",#NAME?
Servicios Sociales..Programa de Emergencia Social,230,22759,27/11/2014,,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS ECONOMICAS EXP. SERVICIOS SOCIALES 2014/32- SEGUN Dº 2054/2014,"300,00","0,00",#NAME?
Seguridad  y Protección Civil. Mantenimiento equipos para procesos de información,920,21600,21/02/2014,B59383596,"ABSIS ABS INFORMATICA.,S.L.","MANTENIMIENTO SISTEMA INFORMATICO ABSIS DE 01/01/2014 AL 31/03/2014, APROBADA CON DECRETO 177/2014 - NUMERO DE FAC.: MV/682 DE FECHA OPERACION: 03/02/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 216/2014","2.920,83","0,00",#NAME?
Seguridad  y Protección Civil. Mantenimiento equipos para procesos de información,920,21600,03/06/2014,B59383596,"ABSIS ABS INFORMATICA.,S.L.","MANTENIMIENTO PROGRAMA ABSIS DEL 01/04/2014 AL 30/06/2014, APROBADA CON DECRETO 904/2014 - NUMERO DE FAC.: MV/957 DE FECHA OPERACION: 13/05/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 966/2014","2.920,83","0,00",#NAME?
Seguridad  y Protección Civil. Mantenimiento equipos para procesos de información,920,21600,31/03/2014,B59383596,"ABSIS ABS INFORMATICA.,S.L.","MANTENIMEINTO SOLUCION E-ATIENDE LT - 1/01/2014 AL 31/12/2014, APROBADO CON DECRETO 435/2014 - NUMERO DE FAC.: MV/875 DE FECHA OPERACION: 10/03/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 534/2014","2.468,40","0,00",#NAME?
Seguridad  y Protección Civil. Mantenimiento equipos para procesos de información,920,21600,31/07/2014,B59383596,"ABSIS ABS INFORMATICA.,S.L.","CONTRATO DE MANTENIMIENTO DEL 01/07/2014 AL 30/09/2014, APROBADA CON DECRETO 1422/2014 - NUMERO DE FAC.: MV/1202 DE FECHA OPERACION: 31/07/2014 Y FECHA REG. INTERVENCIÓN: 15/07/2014","2.920,83","0,00",#NAME?
Seguridad  y Protección Civil. Mantenimiento equipos para procesos de información,920,21600,27/11/2014,B59383596,"ABSIS ABS INFORMATICA.,S.L.",CONTRATO DE MTTO  DEL 01/10/14 AL 31/12/14 - APROBADO Dº 2149/14 - NUMERO DE FAC.: MV/1351 DE FECHA OPERACION: 06/11/2014 Y FECHA REG. INTERVENCIÓN: 28/10/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2280/2014,"2.920,83","0,00",#NAME?
"Comunicaciones.Sede electrónica, administración telemática",926,62607,17/06/2014,B59383596,"ABSIS ABS INFORMATICA.,S.L.","PROYECTO DE IMPLANTACION DE LA SEDE ELECTRONICA - APROBADA EN REC. EXTRAJ. CRÉDITOS, EXPTE: 2/2014  EN PLENO DE 29/05/2014 - NUMERO DE FAC.: 436 DE FECHA OPERACION: 10/06/2014","16.667,75","0,00",#NAME?
Administración General. Gastos diversos,920,22600,05/12/2014,A82743287,"AC CAMERFIRMA,S.A.","CERTIFICADOS EMPLEDO PUBLICO NIVEL MEDIO - 3 AÑOS, APROBADO CON DECRETO 2284/2014 - NUMERO DE FAC.: 1175 DE FECHA OPERACION: 20/11/2014 Y FECHA REG. INTERVENCIÓN: 17/11/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2340/2014","544,50","0,00",#NAME?
"Seguridad  y Protección Civil. Prensa, revistas, libros y otras publicaciones",920,22001,04/11/2014,G37247830,ACAL ASOCIACION ARCHIVEROS CASTILLA LEON,"EXPONER DOCUMENTOS, APROBADO CON DECRETO 1921/2014 - NUMERO DE FAC.: A20140164 DE FECHA OPERACION: 15/10/2014 Y FECHA REG. INTERVENCIÓN: 26/09/2014 Y DECRETO DE ORDENACIÓN DEL PAGO N 1998/2014","25,00","0,00",#NAME?
"Protección civil. Material, informático no inventariable",926,22002,08/09/2014,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",LICENCIAS SERVIDOR (27/07/2014 A 26/08/2014)  - APROBADO POR DECRETO DE ALCALDIA Nº 1.613/2014 - NUMERO DE FAC.: 993530 DE FECHA OPERACION: 27/08/2014 Y FECHA REG. INTERVENCIÓN: 05/08/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1616/2014,"1.134,37","0,00",#NAME?
"Protección civil. Material, informático no inventariable",926,22002,24/10/2014,B84948736,"ACENS TECHNOLOGIES.,S.L.U.","LICENCIAS SERVIDOR (27/08/2014-26/09/2014), APROBADA CON DECRETO 1807/2014 - NUMERO DE FAC.: 1001689 DE FECHA OPERACION: 14/10/2014 Y FECHA REG. INTERVENCIÓN: 04/09/2014","1.134,37","0,00",#NAME?
"Protección civil. Material, informático no inventariable",926,22002,04/11/2014,B84948736,"ACENS TECHNOLOGIES.,S.L.U.","CUOTA PERIODICA MES DE SEPTIEMBRE, APROBADA CON DECRETO 1921/2014 - NUMERO DE FAC.: 1010080 DE FECHA OPERACION: 15/10/2014 Y FECHA REG. INTERVENCIÓN: 02/10/2014 Y DECRETO DE ORDENACIÓN DEL PAGO N 1998/2014","1.134,37","0,00",#NAME?
"Protección civil. Material, informático no inventariable",926,22002,07/08/2014,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",130 LICENCIAS OFFICE 365 - INFORME DESFAVORABLE INTERVENCION Nº 605/14 - APROBADA POR DECRETO DE ALCALDÍA Nº 1.399/2014 -  ORDENACION DEL PAGO POR DECRETO ALCALDIA 1401/14 - NUMERO DE FAC.: 986319 DE FECHA OPERACION: 01/08/2014 Y FECHA REG. INTERVENCIÓN: 18/07/2014,"1.134,37","0,00",#NAME?
"Seguridad  y Protección Civil. Prensa, revistas, libros y otras publicaciones",330,22001,23/12/2014,B64064512,"AD-LANTE MARQUETING Y PUBLICIDAD.,S.L.","SUSCRIPCION REVISTA LONELY PLANET MAGAZINE NOVIEMBRE 2014-NOVIEMBRE 2015, APROBADO CON DECRETO 2439/2014 - NUMERO DE FAC.: 281114 DE FECHA OPERACION: 11/12/2014 Y FECHA REG. INTERVENCIÓN: 03/12/2014","37,92","0,00",#NAME?
"Seguridad  y Protección Civil. Mantenimiento, maquinaria, instalacciones y utillaje",160,21301,25/07/2014,A58090283,AFEISA,"REPARACION TELEASTRO, APROBADA CON DECRETO 1368/14 - NUMERO DE FAC.: 140331 DE FECHA OPERACION: 22/07/2014","113,74","0,00",#NAME?
Servicios Generales Mantenimiento instlacciones eléctricas,160,22717,09/07/2014,A58090283,AFEISA,"CONTRATO DE TELEASTRO.NET, CONSUMO ANUAL LINEA GPRS Y SMS, APROBADA CON DECRETO 1050/14 - NUMERO DE FAC.: 140222 DE FECHA OPERACION: 30/05/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1174/2014","749,99","0,00",#NAME?
Educación. Ordinario no inventariable,330,22000,18/07/2014,B65783474,"AFNIA DESING.,S.L.","SUMINSITROS BIBLIOTECA, APROBADA CON DECRETO 1253/2014 - NUMERO DE FAC.: 200221 DE FECHA OPERACION: 04/07/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1326/2014","192,51","0,00",#NAME?
Mujer Area de Mujer,236,22618,16/04/2014,,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"ACTIVIDAD, TALLER PERSONAL SHOPPER DIA DE LA MUJER,APROBADA CON DECRETO 514/2014 - NUMERO DE FAC.: 001/14 DE FECHA OPERACION: 18/03/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 640/2014","181,50","0,00",#NAME?
Servicios Generales Otras reparaciones y mantenimientos,160,21102,31/03/2014,B28766970,AISLAMIENTOS UNIFICADOS SL,SUMINSITRO MATERIALES DE CONSTRUCCIONAPROBADO CON DECRETO 435/2014 - NUMERO DE FAC.: 14-1-0-000571 DE FECHA OPERACION: 10/03/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 534/2014,"633,77","0,00",#NAME?
Servicios Generales.Suministro de materiales de contrucción,160,22129,04/04/2014,B28766970,AISLAMIENTOS UNIFICADOS SL,"SUMINISTRO DE MATERIALES, APROBADO CON DECRETO 435/2014 - NUMERO DE FAC.: 14-1-0-000642 DE FECHA OPERACION: 10/03/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 534/2014","246,94","0,00",#NAME?
Servicios Generales.Suministro de materiales de fontanería,160,22130,31/07/2014,B28766970,AISLAMIENTOS UNIFICADOS SL,"SUMINSITRO DE MATERIALES, APROBADA CON DECRETO 1422/2014 - NUMERO DE FAC.: 14-1-0-001697 DE FECHA OPERACION: 31/07/2014 Y FECHA REG. INTERVENCIÓN: 17/07/2014","315,17","0,00",#NAME?
Seguridad  y Prtección Civil. Otros suministros,160,22199,23/12/2014,B28766970,AISLAMIENTOS UNIFICADOS SL,"SUMINISTRO MATERIALES, APROBADA CON DECRETO 2439/2014 - NUMERO DE FAC.: 14-1-0-003398 DE FECHA OPERACION: 11/12/2014 Y FECHA REG. INTERVENCIÓN: 26/11/2014","444,75","0,00",#NAME?
Mujer Area de Mujer,236,22618,08/05/2014,B86185659,AL DENTE,"COMIDA DIA DE LA MUJER 2014, APROBADA CON DECRETO 701/2014 - NUMERO DE FAC.: 39653 DE FECHA OPERACION: 09/04/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 783/2014","1.062,79","0,00",#NAME?
Seguridad  y Protección Civil..Oposiciones y pruebas selectivas,920,22607,27/11/2014,,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A TRIBUNAL CALIFICADOR PROVISION 6 PLAZAS AUX. ADMINISTRATIVO - APROBADO Dº 2149/14 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2280/2014,"720,36","172,27",#NAME?
Fomento del empleo. Promoción del Empleo,241,22630,18/07/2014,,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"SERVICIO DE AUXILIARES EN FERIAMOS, APROBADA CON DECRETO 1253/2014 - NUMERO DE FAC.: 32/14 DE FECHA OPERACION: 04/07/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1326/2014 PAGO A AEAT","247,54","0,00",#NAME?
Fomento del empleo. Promoción del Empleo,241,22630,25/07/2014,,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"SERVICIO DE AUXILIARES EN FERIAMOS, APROBADA CON DECRETO 1253/2014 - NUMERO DE FAC.: 32/14 DE FECHA OPERACION: 04/07/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1326/2014","1.783,57","0,00",#NAME?
Servicios Sociales..Programa de Emergencia Social,230,22759,27/11/2014,,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS ECONOMICAS EXP. SERVICIOS SOCIALES 2014/73- SEGUN Dº 2168/2014,"150,00","0,00",#NAME?
Seguridad y Protección Civil. Complemento específico,130,12101,21/01/2014,,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ANTICIPO A CUENTA DE LA NOMINA DEL MES DE ENERO SEGUN DECRETO 48/2014,"400,00","0,00",#NAME?
Seguridad y Protección Civil. Complemento específico,130,12101,28/01/2014,,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,REINTEGRO ANTICIPO A CUENTA DE LA NOMINA DEL MES DE ENERO SEGUN DECRETO 48/2014,"-400,00","0,00",#NAME?
Administración General. Pagas anticipadas y demás préstamos al personal,920,83000,08/09/2014,,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,PRESTAMO DE PERSONAL SEGUN DECRETO 1644/2014,"2.000,00","0,00",#NAME?
Seguridad  y Protección Civil. Productividad,130,15000,24/12/2014,,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"PRODUCTIVIDAD POLICÍA LOCAL Y UNIDAD CANINA, EJERCICIOS 2010 A 2012 - PTE. APROBACIÓN POR PLENO EN RECONOCIMIENTO EXTRAJUDICIAL DE CRÉDITOS, Nº 9/2014 CON INFORME DESFAVORABLE INTERVENCION Nº 482 2014, PAGO A JOAQUIN ALONSO","4.600,00","966,67",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,18/02/2014,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10: ENERO - ARRENDAMIENTO DE VEHICULOS POLICIA LOCAL - APROBADA POR DECRETO Nº 184/2014 - NUMERO DE FAC.: 01400000994 DE FECHA OPERACION: 04/02/2014 Y DECRETO DE ORDENACIÓN DEL PAGO185/2014,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,12/03/2014,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10: FEBRERO ARRENDAMIENTO DE VEHICULOS POLICIA LOCAL - APROBADO POR DECRETO 340/2014 - NUMERO DE FAC.: 01400015047 DE FECHA OPERACION: 25/02/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 265/2014,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,16/04/2014,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10 - MES DE MARZO ALQUILER VEHICULOS SEGURIDAD CIUDADANA - APROBADO POR DECRETO Nº 580/2014 - NUMERO DE FAC.: 01400027827 DE FECHA OPERACION: 25/03/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 583/2014,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,13/05/2014,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10: MES DE MARZO  GESTION Y SERVICIO DE ARRENDAMIENTO DE VEHICULOS POLICIA LOCAL - APROBADO POR DECRETO Nº 800/2014 - NUMERO DE FAC.: 01400038682 DE FECHA OPERACION: 28/04/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 802/2014,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,17/06/2014,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10: MES DE MAYO  ALQUILER DE VEHICULOS POLICIA LOCAL - APROBADA POR DECRETO Nº 1.044/2014 - NUMERO DE FAC.: 01400051547 DE FECHA OPERACION: 29/05/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1046/2014,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,09/07/2014,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE.  26/10 -  JUNIO -ALQUILER VEHICULOS POLICIA LOCAL - APROBADO Dº 1139/2014 - NUMERO DE FAC.: 01400070502 DE FECHA OPERACION: 13/06/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1248/2014,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,31/07/2014,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU","EXPTE. 26/10 MES DE JULIO  ALQUILER VEHICULOS POLICIA LOCAL, APROBADA CON DECRETO 1422/2014 - NUMERO DE FAC.: 01400080406 DE FECHA OPERACION: 31/07/2014 Y FECHA REG. INTERVENCIÓN: 11/07/2014","3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,16/09/2014,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10 AGOSTO:  ALQUILER VEHICULOS POLICIA LOCAL - APROBADA POR DECRETO ALCALDIA Nº 1.604/2014 - NUMERO DE FAC.: 01400088099 DE FECHA OPERACION: 26/08/2014 Y FECHA REG. INTERVENCIÓN: 14/08/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº1605/2014,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,16/10/2014,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10: SEPTIEMBRE. ALQUILER VEHICULOS POLICIA LOCAL - APROBADA POR DECRETO Nº 1.809/2014 - NUMERO DE FAC.: 01400105766 DE FECHA OPERACION: 29/09/2014 Y FECHA REG. INTERVENCIÓN: 16/09/2014,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,11/11/2014,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10: MES DE OCTUBRE ALQUILER VEHICULOS SEGURIDAD CIUDADANA - APROBADA POR DECRETO Nº 2.017/2014 - NUMERO DE FAC.: 01400119678 DE FECHA OPERACION: 24/10/2014 Y FECHA REG. INTERVENCIÓN: 17/10/2014 Y DECRETO DE ORDENACIÓN DEL PAGO N 2018/2014,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,05/12/2014,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU","EXPTE. 26/10: MES DE  NOVIEMBRE, ALQUILER VEHICULOS SEGURIDAD CIUDADANA - APROBADA POR DECRETO Nº 2.303/2014 - NUMERO DE FAC.: 01400128077 DE FECHA OPERACION: 24/11/2014 Y FECHA REG. INTERVENCIÓN: 14/11/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2304/2014","3.104,67","0,00",#NAME?
Cultura. Actividades culturales,330,22609,03/06/2014,B80923808,"ALQUILER SESPA.,S.L.","ALQUILER 4 HINCHABLES CON MONITORES, APROBADA CON DECRETO 904/2014 - NUMERO DE FAC.: 10E/2014 DE FECHA OPERACION: 13/05/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 966/2014","1.936,00","0,00",#NAME?
Fiestas populares y festejos. Fiestas y eventos populares municipales,338,22735,29/07/2014,B80923808,"ALQUILER SESPA.,S.L.","ORGANIZACION YIMKANA FIESTAS CORPUS, APROBADA CON DECRETO 1253/2014 - NUMERO DE FAC.: 16E/2014 DE FECHA OPERACION: 04/07/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1326/2014","2.299,00","0,00",#NAME?
Fiestas populares y festejos. Fiestas y eventos populares municipales,338,22735,29/07/2014,B80923808,"ALQUILER SESPA.,S.L.","ORGANIZACION YINKANAS FIESTAS CORPUS 2014, APROBADA CON DECRETO 1253/2014 - NUMERO DE FAC.: 15E/2014 DE FECHA OPERACION: 04/07/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1326/2014","1.089,00","0,00",#NAME?
