#EJECUCIÓN INGRESOS  - EJERCICIO 2014,,,,,,,
,,,,,,,
#Ejercicio,Org.,Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2014,,31309,Torneos de tenis,820,0,820,0
2014,,31400,Tasas Actividades Juventud,62000,0,62000,161
2014,,31500,Tasas Actividades Mujer,9000,0,9000,4115.5
2014,,31600,Tasas Actividades infancia-Pequeteca,1400,0,1400,393.2
2014,,31601,Tasas Actividades infancia-Ludoteca,5000,0,5000,1686.6
2014,,31603,Tasa Actividades Infancia,33000,0,33000,54155.7
2014,,31702,Tasas Talleres de Cultura-Historia del Arte,2000,0,2000,2098.4
2014,,31703,Tasas Talleres de Cultura-Ofimática,5000,0,5000,2551.9
2014,,31704,Tasas Talleres de Cultura-Restauración,5300,0,5300,0
2014,,31705,Tasas entradas a Teatros,16500,0,16500,19876.5
2014,,31706,Tasas Escuela de Música,50300,0,50300,59712
2014,,32100,Tasa Licencias urbanísticas por obras,42500,0,42500,198170.93
2014,,32102,Tasas Licencia de apertura de establecimientos y actividad,170000,0,170000,177622.52
2014,,32200,Cedulas de habitabilidad y licencias de primera ocupación,25000,0,25000,47875.94
2014,,32300,Tasas Parcelación y Segregación,0,0,0,2705.74
2014,,32500,Expedición de documentos. Tarjeta Activa,136000,0,136000,140653.66
2014,,32502,Expedición de documentos.Resto de conceptos,10000,0,10000,5830.94
2014,,32600,Tasa  retirada de vehículos. Inmovilización,5000,0,5000,1425
2014,,32601,Tasa retirada de vehículos. Retirada  y enganche,74460,0,74460,2130
2014,,32602,Tasa  retirada de vehcículos.Depósito,17500,0,17500,4598.16
2014,,32700,Tasas animales domésticos,5231,0,5231,5491
2014,,33100,Tasa  entrada de vehículos (vados),45500,0,45500,48225
2014,,33200,Tasa  utilización privativa dominio público - IBERDROLA,180000,0,180000,161683.24
2014,,33201,Tasa Utilización privativa  dominio Público-REPSOL,64000,0,64000,139516.93
2014,,33202,Tasa utilización privativa  dominio público-ENDESA,6500,0,6500,59510.09
2014,,33203,Tasa  utilización privativa  dominio público-OTRAS Empresas suministradoras,1000,0,1000,91979.03
2014,,33206,Tasa por utilización privativade dominio público - REDESA,20934.81,0,20934.81,0
2014,,33300,Tasas  utilización privativa  dominio público.- Otras empresas  telecom.,25000,0,25000,2874.28
2014,,33400,Ocupación de vía pública,80000,0,80000,14101.56
2014,,33500,Tasa  ocupación vía pública  actividades lucrativas,4500,0,4500,43409.48
2014,,33800,Compensación de Telefónica de España S.A.,110000,0,110000,80584.91
2014,,33902,Tasa por utilización de Edificios e Instalacciones Municipales,0,0,0,10121.88
2014,,34201,Precio público Escuela de pintura,9100,0,9100,3460
2014,,34202,Precio Público Clases de Inglés,32000,0,32000,34608.64
2014,,34203,Clases de Aleman,0,0,0,3052.5
2014,,34400,Precios públicos Entradas de Cine,0,0,0,519.6
2014,,34900,Precios públicos publicidad en gaceta,4500,0,4500,0
2014,,34901,Precios públicos bailes de salón,6800,0,6800,0
2014,,34902,Precios públicos baile moderno,13600,0,13600,14431
2014,,34904,Danza española,0,0,0,23078.5
2014,,34906,Publicidad en página web,900,0,900,60
2014,,34907,"Ingresos parking Potro, Carcavillas, Central",24000,0,24000,0
2014,,38900,Reintegros de pagos ejercicios cerrados,0,0,0,36.22
2014,,39120,Multas por infracciones de la Ordenanza de circulación,550000,0,550000,205530.13
2014,,39190,Otras multas y sanciones,110000,0,110000,27878.41
2014,,39210,Recargo ejecutivo,41000,0,41000,17235.88
2014,,39211,Recargo de apremio,200000,0,200000,189980.96
2014,,39300,Intereses de demora,100000,0,100000,97557.25
2014,,39711,Convenio Xanadú,50000,0,50000,50000
2014,,39800,Indemnizaciones de seguros de  no vida,0,0,0,369.36
2014,,39901,Anuncios a cargo de particulares,20000,0,20000,27025.47
2014,,39902,Tercera edad,20000,0,20000,32525.34
2014,,39904,Recogida selectiva,75000,0,75000,75897.23
2014,,39905,Máquinas dispensadoras comida y bebida,800,0,800,2571.08
2014,,39907,Otros ingresos diversos,5000,4840,9840,15299.09
2014,,39909,"Ingresos bajas vehículos, desguace",30000,0,30000,6920
2014,,42000,Participación en los Tributos del Estado,4000000,0,4000000,5585541.08
2014,,42001,Trnasferencias I.A.E.,158800,0,158800,289340.45
2014,,42102,Servicio Regional de Empleo Escuela Taller,0,0,0,0
2014,,45002,Convenios con la C.A. en materia de Servicios Sociales y Pólittica de Igualdad,0,241119.66,241119.66,241119.66
2014,,45030,Convenios con la Comunidad Autónoma en materia de Educación,69062.5,0,69062.5,73322.88
2014,,45080,Otras subvenciones corrientes (Juzgado de Paz),3306,0,3306,2392
2014,,45081,Subvención Deportes,6486,0,6486,0
2014,,45085,Cursos de Formación para desempleados,0,21315,21315,21315
2014,,45086,Plan Prisma,0,483987,483987,483987
2014,,45088,"Subvencion Comercio,Feria de Muestras",20000,0,20000,0
2014,,45090,Subvención Peograma de Insercción Laboral,0,657532.7,657532.7,657532.8
2014,,47000,Convenio Madrid Xanadú,0,3400,3400,4900
2014,,47002,Convenio Gas Natural,0,18000,18000,18000
2014,,52000,Intereses de depósitos,300000,0,300000,110458.61
2014,,53410,De sociedades y entidades no dependientes de las entidades locales,0,0,0,7157.88
2014,,55002,De concesiones administrativas Kiosko de prensa,1700,0,1700,1600.56
2014,,55004,Otras concesiones administrativas con contraprestación periódica,2000,0,2000,2583.75
2014,,55200,Derecho de superficie con contraprestación periódica. Colegio Sol  y Nieve,20000,0,20000,0
2014,,55201,Derecho de superficie . El Olivar,17000,0,17000,17369.6
2014,,55202,Canon huertos familiares,2500,0,2500,2800
2014,,83000,Reintegro de préstamos al personal,18000,0,18000,9652.87
2014,,87000,"R,Tª Para gastos generales",0,505078.9,505078.9,0
2014,,87003,R.Tª para inversiones en P.M.S.,0,3927261.4,3927261.4,0
2014,,87010,Para gastos con financiación afectada,0,852233.34,852233.34,0
,,,,,,,
#,,,TOTAL,23983888.54,6714768,30698656.54,29143786.45
