#Denominación,Programa,Económica,Fecha,NIF/CIF,Nombre Empresa,Descripción,Importe,Descuentos,j,k,l,m
,926  .22299  ,,10/03/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Licencia SQL Server Standard Edition Win32 (licencia por core) (17/01/2017 - 16/02/2017) - INFORME DESFAVORABLE INTERVENCION 40/2017 - APROBADA EN PLENO 23/02/17 - REC 03/17 - NUMERO DE FAC.: 6561302/CDD224738 DE FECHA OPERACION: 23/02/2017 Y FECHA REG. INTERVENCIÓN: 24/01/2017,"377,67","0,00",,,,
,926  .22299  ,,10/03/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",MN 2015/01 - Cuota periodica: Office 365 Empresa Premium (01/01/2017 - 31/01/2017) - INFORME DESFAVORABLE INTERVENCION 40/2017 - APROBADA EN PLENO 23/02/17 - REC 03/17 - NUMERO DE FAC.: 6561242/CDD222804 DE FECHA OPERACION: 23/02/2017 Y FECHA REG. INTERVENCIÓN: 24/01/2017,"1.778,70","0,00",,,,
,926  .22299  ,,10/03/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Licencia SQL Server Standard Edition Win32 (licencia por core) (17/12/2016 - 16/01/2017)  - INFORME DESFAVORABLE INTERVENCION 40/2017 - APROBADA EN PLENO 23/02/17 - REC 03/17 - NUMERO DE FAC.: 6451857/CDD220555 DE FECHA OPERACION: 23/02/2017 Y FECHA REG. INTERVENCIÓN: 28/12/2016,"377,67","0,00",,,,
,926  .22299  ,,17/05/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Cloud Datacenter - vDC 10 (06/02/2017 - 05/03/2017) - INFORME DESFAVORABLE Nº 136/17 - REC 04/2017 - APROBADA EN PLENO 27/04/17 - NUMERO DE FAC.: 6624430/CDD227856 DE FECHA OPERACION: 27/04/2017 Y FECHA REG. INTERVENCIÓN: 09/02/2017,"732,25","0,00",,,,
,926  .22299  ,,17/05/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Licencia SQL Server Standard Edition Win32 (licencia por core) (17/02/2017 - 16/03/2017) - INFORME DESFAVORABLE Nº 136/17 - REC 04/2017 - APROBADA EN PLENO 27/04/17 - NUMERO DE FAC.: 6693620/CDD229022 DE FECHA OPERACION: 27/04/2017 Y FECHA REG. INTERVENCIÓN: 01/03/2017,"377,67","0,00",,,,
,926  .22299  ,,17/05/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Office 365 Empresa Premium (01/02/2017 - 28/02/2017) - INFORME DESFAVORABLE INTERVENCION (ERA UN CONTRATO MENOR EN 2016) Nº 136/17 - REC 04/2017 - APROBADA EN PLENO 27/04/17 - NUMERO DE FAC.: 6614697/CDD227224 DE FECHA OPERACION: 27/04/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"1.778,70","0,00",,,,
,926  .20605  ,,17/05/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Cloud Datacenter - vDC 10 (06/03/2017 - 05/04/2017) - -INFORME DESFAVORABLE INTERVENCION 204/2017  - REC 06/2017 - APROBADA EN PLENO 27/04/17 - NUMERO DE FAC.: 6720054/CDD232170 DE FECHA OPERACION: 27/04/2017 Y FECHA REG. INTERVENCIÓN: 08/03/2017,"732,25","0,00",,,,
,926  .21607  ,,17/05/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Office 365 Empresa Premium (01/03/2017 - 31/03/2017) - -INFORME DESFAVORALE INTERVENCION 204/2017 -  (ERA UN CONTRATO MENOR EN 2016)  - REC 06/2017 - APROBADA EN PLENO 27/04/17 - NUMERO DE FAC.: 6720052/CDD231052 DE FECHA OPERACION: 27/04/2017 Y FECHA REG. INTERVENCIÓN: 08/03/2017,"1.778,70","0,00",,,,
,926  .22203  ,,09/05/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Office 365 Empresa Premium (01/12/2016 - 15/12/2016) - INCORPORACION REMANENTE 9/17 - INFORME INTERVENCION 219/2017 - APROBADA EN JGL 12/04/17 - NUMERO DE FAC.: 6776173/CDD233186 DE FECHA OPERACION: 12/04/2017 Y FECHA REG. INTERVENCIÓN: 22/03/2017,"889,35","0,00",,,,
,926  .22203  ,,17/05/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Office 365 Empresa Premium (16/12/2016 - 31/12/2016) - INFORME DESFAVORABLE INTERVENCION 204/2017 - NCORPORACION REMANENTES 9/17  - REC 06/2017 - APROBADA EN PLENO 27/04/17 - NUMERO DE FAC.: 6776174/CDD233184 DE FECHA OPERACION: 27/04/2017 Y FECHA REG. INTERVENCIÓN: 22/03/2017,"889,35","0,00",,,,
,926  .20605  ,,20/06/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Licencia SQL Server Standard Edition Win32 (licencia por core) (17/04/2017 - 16/05/2017) - INFORME DESFAVORABLE INTERVENCION 266/2017 - APROBADA POR PLENO 25/05/17 - REC 07/17 - NUMERO DE FAC.: 6888314/CDD237686 DE FECHA OPERACION: 25/05/2017 Y FECHA REG. INTERVENCIÓN: 20/04/2017,"377,67","0,00",,,,
,926  .20605  ,,20/06/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Licencia SQL Server Standard Edition Win32 (licencia por core) (17/03/2017 - 16/04/2017) - INFORME DESFAVORABLE INTERVENCION 266/2017 - APROBADA POR PLENO 25/05/17 - REC 07/17 - NUMERO DE FAC.: 6809805/CDD233366 DE FECHA OPERACION: 25/05/2017 Y FECHA REG. INTERVENCIÓN: 30/03/2017,"377,67","0,00",,,,
,926  .20605  ,,20/06/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Cloud Datacenter - vDC 10 (06/04/2017 - 05/05/2017) -  INFORME DESFAVORABLE INTERVENCION 266/2017 - APROBADA POR PLENO 25/05/17 - REC 07/17 - NUMERO DE FAC.: 6868129/CDD236574 DE FECHA OPERACION: 25/05/2017 Y FECHA REG. INTERVENCIÓN: 17/04/2017,"732,25","0,00",,,,
,926  .21607  ,,20/06/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Office 365 Empresa Premium (01/04/2017 - 30/04/2017)  INFORME DESFAVORABLE INTERVENCION 266/2017 - APROBADA POR PLENO 25/05/17 - REC 07/17 - NUMERO DE FAC.: 6868127/CDD235314 DE FECHA OPERACION: 25/05/2017 Y FECHA REG. INTERVENCIÓN: 17/04/2017,"1.778,70","0,00",,,,
,926  .20605  ,,21/08/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Cloud Datacenter - vDC 10 (06/05/2017 - 05/06/2017) - ) - INFORME DESFAVORABLE INTERVENCION 314/2017 -   APROBADA EN PLENO DE 27/07/2017 EN REC 10/2017 - NUMERO DE FAC.: 6978798/CDD240906 DE FECHA OPERACION: 27/07/2017 Y FECHA REG. INTERVENCIÓN: 12/05/2017,"732,25","0,00",,,,
,926  .21607  ,,21/08/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Office 365 Empresa Premium (01/05/2017 - 31/05/2017) - INFORME DESFAVORABLE INTERVENCION 314/2017 -   APROBADA EN PLENO DE 27/07/2017 EN REC 10/2017 - NUMERO DE FAC.: 6978795/CDD240233 DE FECHA OPERACION: 27/07/2017 Y FECHA REG. INTERVENCIÓN: 12/05/2017,"1.778,70","0,00",,,,
,926  .20605  ,,21/08/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Licencia SQL Server Standard Edition Win32 (licencia por core) (17/05/2017 - 16/06/2017) ) - INFORME DESFAVORABLE INTERVENCION 401/2017 -   APROBADA EN PLENO DE 27/07/2017 EN REC 10/2017 - NUMERO DE FAC.: 7059361/CDD242050 DE FECHA OPERACION: 27/07/2017 Y FECHA REG. INTERVENCIÓN: 01/06/2017,"377,67","0,00",,,,
,9201 .21301  ,,22/03/2017,A58090283,AFEISA,EXPTE 92/17 - RENOVACION TELEASTRO - APROBADA POR DECRETO 467/2017 - NUMERO DE FAC.: 170024 DE FECHA OPERACION: 27/02/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"774,59","0,00",,,,
,231  .22759  ,,19/06/2017,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - DECRETO DE CONCESION 1555/2017 - DECRETO DE APROBACION 1798/2017,"250,00","0,00",,,,
,130  .22610  ,,07/04/2017,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,COMIDA  CELEBRADA EL 15/12/16 POR EL CUERPO DE POLICIA DE ARROYOMOLINOS - INFORME DE INTERVENCION 165/2017 - APROBADA POR JGL 29/03/17 - NUMERO DE FAC.: 48 DE FECHA OPERACION: 29/03/2017 Y FECHA REG. INTERVENCIÓN: 06/03/2017,"600,00","0,00",,,,
,3321 .22735  ,,13/07/2017,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXPTE COMPRAS 446/17 CUENTACUENTOS 13/6/17. APROBADO Dº 1970/17 - NUMERO DE FAC.: 0033/2017 DE FECHA OPERACION: 29/06/2017 Y FECHA REG. INTERVENCIÓN: 19/06/2017,"275,00","37,50",,,,
,432  .22652  ,,22/05/2017,B45841319,ALAMILLOS MARK Y EVENT SL,EXPTE 917/17 - MERCADILLO MEDIEVAL DE 14/05/17 - ADELANTO 50% - APROBADA POR DECRETO 1349/2017 - NUMERO DE FAC.: Emit-05.17.019/2 DE FECHA OPERACION: 10/05/2017 Y FECHA REG. INTERVENCIÓN: 04/05/2017,"12.826,00","0,00",,,,
,432  .22652  ,,29/06/2017,B45841319,ALAMILLOS MARK Y EVENT SL,EXPTE 9/17: JORNADAS DE RECREACION HISTORICA DEL SIGLO XV - APROBADA POR DECRETO 1863/2017 - NUMERO DE FAC.: Emit-/716020 DE FECHA OPERACION: 22/06/2017 Y FECHA REG. INTERVENCIÓN: 30/05/2017,"12.826,00","0,00",,,,
,926  .21607  ,,21/04/2017,A28634046,"ALGORITMOS, PROCESOS Y DISEÑOS, S.A.",EXPTE COMPRAS 234/17 -  LIC USO SEGURIDAD SUITE. PANDA ADAPTIVE*DEFENSE+ ADVANCED - LIC USO SOFT.SEGURIDAD CLOUD OFFICE*PROTECTION  - APROBADA POR DECRETO 946/2017 - NUMERO DE FAC.: A42/42470028 DE FECHA OPERACION: 06/04/2017 Y FECHA REG. INTERVENCIÓN: 30/03/2017,"876,65","0,00",,,,
,926  .62616  ,,11/08/2017,A28634046,"ALGORITMOS, PROCESOS Y DISEÑOS, S.A.",02.06.01.01.0001 MINORACION POR NO INSTALACION - A4242270055 - 42270055 / 02.01.02.02.0001 ORDENADORES DE MESA. APD.ALDA CE Q75F - A4242270055 - 42270055 / 02.01.02.50.0016 LICENCIAS S.0. WINDOWS 10 PRO OEM APD. V10 - A4242270055 - 42270055 / 02.06.02.01.0001 GARANTIA ADICIONAL - A4242270055 - 42270055 / 02.04.03.00.0004 MONITORES AOC. e2260Pdas - A4242270055 - 42270055 / 02.06.02.01.0153 GARANTIA ADICIONAL - A4242270055 - 42270055. APROBADA POR DECRETO 2409/2017 - NUMERO DE FAC.: A42/42470054 DE FECHA OPERACION: 04/08/2017 Y FECHA REG. INTERVENCIÓN: 19/07/2017,"14.892,68","0,00",,,,
,926  .62616  ,,11/08/2017,A28634046,"ALGORITMOS, PROCESOS Y DISEÑOS, S.A.",02.06.01.01.0001 MINORACION POR NO INSTALACION - A4242270065 - 42270065 / 02.02.03.01.0004 ORDENADORES PORTATILES.APD.NOMADA*W2558EUQB - A4242270065 - 42270065 / 02.02.03.50.0001 LICENCIAS S.O. WINDOWS 10 .PRO OEM APD.V8 - A4242270065 - 42270065. APROBADA POR DECRETO 2409/2017 - NUMERO DE FAC.: A42/42470055 DE FECHA OPERACION: 04/08/2017 Y FECHA REG. INTERVENCIÓN: 19/07/2017,"633,19","0,00",,,,
,926  .62616  ,,11/08/2017,A28634046,"ALGORITMOS, PROCESOS Y DISEÑOS, S.A.",02.04.03.00.0004 MONITORES AOC. e2260Pdas - A4242270058 - 42270058 / 02.06.02.01.0153 GARANTIA ADICIONAL - A4242270058 - 42270058 / 02.06.02.01.0001 GARANTIA ADICIONAL - A4242270058 - 42270058 / 02.01.02.50.0016.LICENCIAS S.0. WINDOWS 10 PRO OEM APD. V10 - A4242270058 - 42270058 / 02.01.02.02.0001 RDENADORES DE MESA. APD.ALDA CE Q75F - A4242270058 - 42270058 / 02.06.01.01.0001 MINORACION POR NO INSTALACION - A4242270058 - 42270058. Nº DECRETO 2409/2017 - NUMERO DE FAC.: A42/42470061 DE FECHA OPERACION: 07/08/2017 Y FECHA REG. INTERVENCIÓN: 01/08/2017,"2.628,12","0,00",,,,
,338  .48015  ,,05/04/2017,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,SUBVENCION CONCURSO CARROZAS Y COMPARSAS 2017 CABALGATA REYES 2017 - ARROYADORES  - DECRETO 733/2017,"150,00","0,00",,,,
,338  .48015  ,,30/05/2017,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,SUBVENCIONES CONCURSO DE CARNAVALES 2017 PEÑA ARROYADORES - DECRETO 1437/2016,"164,80","0,00",,,,
,338  .48015  ,,29/08/2017,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,SUBVENCION CONCURSO DE AUTOS LOCOS 2017 - PEÑA ARROYADORES - DECRETO DE APROBACION 2522/2017,"102,89","0,00",,,,
,231  .22759  ,,05/04/2017,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - DECRETO DE CONCESION 617/2017 - DECRETO DE APROBACION 762/2017,"250,00","0,00",,,,
,231  .22759  ,,20/07/2017,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES. DECRETO DE CONCESION 1989/2017. DECRETO DE APROBACION 2119/2017,"250,00","0,00",,,,
,320  .48003  ,,10/03/2017,G80256597,AMPA C.P. EL TORREON,IR. 3/2017. SUBVENCION AMPA CEIP EL TORREON PARA REALIZAR ACTIVIDADES EXTRAESCOLARES E INVERSION EN LAS INSTALACIONES DE COLEGIOS AÑO 2016 JUSTIFICADA EN 2017 - APROBADO POR DECRETO 532/2017,"3.000,00","0,00",,,,
,320  .48003  ,,10/03/2017,G84780188,AMPA CEIP FRANCISCO DE ORELLANA,IR 3/2017. SUBVENCION AMPA CEIP FRANCISCO ORELLANA PARA REALIZAR ACTIVIDADES EXTRAESCOLARES E INVERSION EN LAS INSTALACIONES DE LOS COLEGIOS PUBLICOS AÑO 2016 JUSTIFICADA EN 2017 - APROBADO DECRETO 533/2017,"6.812,75","0,00",,,,
,338  .48015  ,,05/04/2017,G86130952,AMPA COLEGIO ARENALES,SUBVENCION CONCURSO CARROZAS Y COMPARSAS 2017 CABALGATA REYES 2017 - AMPA ARENALES - DECRETO 733/2017,"182,65","0,00",,,,
,320  .48017  ,,01/03/2017,G86130952,AMPA COLEGIO ARENALES,I.R. 3/2017. SUBVENCION NOMINATIVA AMPA COLEGIO ARENALES AÑO 20106 JUSTIFICADA EN 2017 - APROBADO POR DECRETO 368/2017,"330,45","0,00",,,,
,320  .48003  ,,22/03/2017,G83761478,AMPA LAS CASTAÑERAS,IR 3/2017. SUBVENCION AMPA CEIP LAS CASTAÑERAS PARA REALIZAR ACTIVIDADES EXTRAESCOLARES E INVERSION EN INSTALACIONES DE LOS COLEGIOS PUBLICOS CORRESPONDIENTE AL AÑO 2016 JUSTIFICADA EN 2017 - APROBADO POR DECRETO 470/2017,"4.171,38","0,00",,,,
,320  .48002  ,,22/03/2017,G83761478,AMPA LAS CASTAÑERAS,IR 3/17. SUBVENCION NOMINATIVA AMPA CEIP LAS CASTAÑERAS AÑO 2016 JUSTIFICADA EN 2017 - APROBADO POR DECRETO 477/2017,"2.313,45","0,00",,,,
,231  .22759  ,,29/06/2017,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - DECRETO DE CONCESION 1710/2017 - DECRETO DE APROBACION 1832/2017,"200,00","0,00",,,,
