#Org.,Prog.,Econ.,Denominación,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,130,22101,Seguridad  y P. Civil..Agua,,,130,2,1600,0,1600,774.45
,130,22103,Seguridad  y P. Civil. Combustibles y carburantes,,,130,2,10000,0,10000,0
,130,22104,Seguridad  y P. Civil. Vestuario,,,130,2,25000,24141.92,49141.92,33805.11
,130,22117,Seguridad  y P. Civil. Utillaje,,,130,2,5000,0,5000,0
,130,22121,Seguridad  y P. Civil. Material prácticas de tiro,,,130,2,5000,0,5000,0
,130,22199,Seguridad  y P. Civil. Otros suministros,,,130,2,4000,-761.09,3238.91,1863.04
,130,22201,Seguridad  y P. Civil. Postales,,,130,2,2500,0,2500,0
,130,22400,Seguridad  y P. Civil. Primas de seguros,,,130,2,5000,-4000,1000,207.66
,130,22401,Seguridad  y P. Civil. Primes de seguros de vehículos,,,130,2,34000,0,34000,37367.37
,130,22603,Seguridad  y P. Civil. Publicación en Diarios Oficiales,,,130,2,1000,0,1000,0
,130,22610,Seguridad  y P. Civil. Festejos populares (Patrona G. Civil y Policía Local),,,130,2,1884.7,0,1884.7,600
,130,22699,Seguridad  y P. Civil. Otros gastos diversos,,,130,2,2000,1427.8,3427.8,117.98
,130,22703,Seguridad  y P. Civil. Tramitación de expedientes sancionadores,,,130,2,34255.1,25691.25,59946.35,42818.73
,130,22715,Seguridad  y P. Civil. Limpieza en edificios,,,130,2,17521.65,1681.7,19203.35,9258.48
,130,22755,Seguridad  y P. Civil. Servicio de Grua,,,130,2,14520,15821.19,30341.19,11370.81
,130,60900,Seguridad  y P. Civil Instalacción de Semáforos,,,130,60900,8000,61200,69200,61200
,130,62300,Seguridad  y P. Civil.Destructoras de papel,,,130,62300,0,761.09,761.09,761.09
,130,63205,Seguridad  y P. Civil.Acondicionamiento Centro de Seguridad Vial,,,130,63205,0,30000,30000,6231.5
,130,63506,Seguridad  y P. Civil.CAJA MANUAL DE COBRO PARKING C/POTRO,,,130,63506,0,3333,3333,3332.7
,135,11000,Protección civil. Retribuciones básicas,,,135,1,0,30300.06,30300.06,14890.32
,135,20601,Protección civil..Alquiler equipos para procesos información fotocopiadoras,,,135,2,0,0,0,382.35
,135,21300,Protección civil. Mantenimiento equipos de transmisión,,,135,2,5000,0,5000,0
,135,21301,"Protección civil. Mantenimiento, maquinaria, instalacciones y utillaje",,,135,2,2000,0,2000,0
,135,21400,Protección civil. Mantenimiento y reparación de vehículos,,,135,2,5000,0,5000,0
,135,22002,"Protección civil. Material, informático no inventariable",,,135,2,1000,0,1000,0
,135,22103,Protección civil. Combustibles y carburantes,,,135,2,1000,0,1000,20
,135,22104,Protección civil. Vestuario,,,135,2,5706,12979.67,18685.67,5475.25
,135,22122,Protección civil. Material técnico sanitario primeros auxilios,,,135,2,5000,0,5000,0
,135,22123,Protección civil. Material contra incendios,,,135,2,5000,8378.04,13378.04,0
,135,22199,Protección civil. Otros suministros,,,135,2,1000,0,1000,68.93
,135,22200,Protección civil. Servicios de Telecomunicaciones,,,135,2,1500,0,1500,272.25
,135,22406,Protección civil. Seguros protección civil,,,135,2,6226.86,0,6226.86,3161.58
,135,22699,Protección civil. Otros gastos diversos,,,135,2,278.91,0,278.91,100
,135,22707,Protección civil. Formación protección civil,,,135,2,5000,0,5000,0
,135,63321,Protección civil..Reparación aire acondicionado Protec.Civil,,,135,63321,0,9438,9438,9438
,136,22501,Servicio de prevención y extinción de incendios. Tributos de las Comunidades Autónomas,,,136,2,871782.29,415296.29,1287078.58,851182.59
,151,12000,Urbanismo. Sueldos del Grupo A1,,,151,1,31363.94,0,31363.94,14751.95
,151,12001,Urbanismo. Sueldos del Grupo A2,,,151,1,54239.92,0,54239.92,26071.2
,151,12003,Urbanismo. Sueldos del Grupo C1,,,151,1,71264.56,0,71264.56,24959.55
,151,12004,Urbanismo. Sueldos del Grupo C2,,,151,1,50840.4,0,50840.4,20873.93
,151,12006,Urbanismo. Trienios,,,151,1,25384.34,0,25384.34,12844.9
,151,12100,Urbanismo. Complemento de destino,,,151,1,126086.24,0,126086.24,55115.76
,151,12101,Urbanismo. Complemento específico,,,151,1,231392.21,0,231392.21,108537.9
,151,13000,Urbanismo. Salario Base,,,151,1,7755.37,0,7755.37,3877.72
,151,13002,Urbanismo. Otras remuneraciones,,,151,1,9455.56,0,9455.56,4727.87
,151,13006,Urbanismo. Trienios,,,151,1,762.16,0,762.16,381.08
,151,15100,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística. Gratificaciones",,,151,15100,2000,0,2000,104.16
,151,20402,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..RENTING DOS AUTOBUSES",,,151,2,0,500000,500000,0
,151,21300,Urbanismo: Mantenimiento equipos de transmisión (sonómetro),,,151,2,1000,0,1000,0
,151,21301,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Mantenimiento, maquinaria, instalacciones y utillaje",,,151,2,0,0,0,0
,151,21303,Urbanismo. Mantenimiento aparatos elevadores,,,151,2,788.77,74.12,862.89,519.68
,151,21400,Urbanismo. Mantenimiento y reparación de vehículos,,,151,2,2000,0,2000,486.8
,151,21600,Urbanismo: Mantenimiento equipos para procesos de información,,,151,2,5000,0,5000,641.48
,151,22000,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Ordinario no inventariable",,,151,2,0,0,0,374.49
,151,22001,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística. Prensa, revistas, libros y otras publicaciones",,,151,2,5000,0,5000,2558.4
,151,22100,Urbanismo. Energía eléctrica,,,151,2,25000,0,25000,11730.97
,151,22101,Urbanismo. Agua,,,151,2,4000,0,4000,1362.02
,151,22199,Urbanismo. Otros suministros,,,151,2,8000,0,8000,12512.45
,151,22400,Urbanismo. Primas de seguros,,,151,2,3200,0,3200,0
,151,22401,Urbanismo. Primes de seguros de vehículos,,,151,2,3000,0,3000,1089.15
,151,22699,Urbanismo. Otros gastos diversos,,,151,2,5000,0,5000,28342.67
,151,22706,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística. Estudios y trabajos técnicos",,,151,2,147868.88,-60117.76,87751.12,0
,151,22713,Urbanismo. Control de calidad,,,151,2,30000,0,30000,0
,151,22715,Urbanismo: Limpieza en edificios,,,151,2,27683.92,2544.57,30228.49,17363.5
,151,22716,Urbanismo: Servicio de mensajería,,,151,2,5000,0,5000,937.09
,151,23101,Urbanismo:  Locomoción del personal,,,151,2,2000,0,2000,27.5
,151,60902,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Aseos portátiles",,,151,60902,0,120000,120000,0
,151,60908,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Nuevo parque rotonda de La Constitución",,,151,60908,0,150000,150000,0
,151,61105,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Adecuación de  rotondas",,,151,61105,0,200000,200000,0
,151,61108,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Remodelación bulevar",,,151,61108,0,665287.29,665287.29,423239.22
,151,62211,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Punto limpio Ribera Guadarrama",,,151,62211,0,70000,70000,0
,151,62500,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Mobiliario",,,151,62500,0,10000,10000,2077.86
,151,63101,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Reasfaltado y atemperamiento de velocidad",,,151,63101,0,1750117.76,1750117.76,0
,151,63102,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Reparación muro M 413",,,151,63102,0,80000,80000,0
,151,63104,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Aparcamientos Correos, Dehesa, y Arenales",,,151,63104,0,150000,150000,11427.54
,155,21002,Vias Públicas Mantenimeinto Infraestructuras Asfaltado,,,155,2,0,12726.84,12726.84,10237.22
,160,22723,Alcantarillado.Limpieza alcantarillado,,,,,3155.68,0,3155.68,0
,1621,22727,Recogida de residuos.Recogida de residuos,,,1621,2,1200000,281221.12,1481221.12,942520.39
,1622,22736,Gestión de residuos sólidos urbanos.Mantenimiento punto limpio,,,1622,2,82248.48,6777.79,89026.27,54798.01
,1623,22502,Tratamiento de residuos.Tributos de las Entidades locales,,,,,114000,0,114000,79266.45
,163,22726,Limpieza viaria. Limpieza Viaria,,,163,2,1400000,323482.82,1723482.82,1099844.19
,164,22718,Cementerio y servicios funerarios.Enterramientos,,,164,2,3224.88,4000,7224.88,5643.54
,165,22112,"Alumbrado público.Suministros de material electrónico, eléctrico y de telecomunicaciones",,,165,2,21961.5,4496.44,26457.94,4656.24
,165,22717,Alumbrado público.Mantenimiento instalacciones eléctricas,,,165,2,111936.11,0,111936.11,59360
,1651,22773,RENOVACION INSTALACIONES ALUMBRADO EXTERIOR MPAL.Asesoramiento para redacción de pliegos,,,1651,2,0,8651.5,8651.5,3932.5
,171,21101,Parques y jardines. Mantennimiento jardines (encomienda Emuvisa),,,171,2,1980941.19,146042.5,2126983.69,1301591.51
,171,21106,Parques y jardines. Reparación rías P. Los Galayos y M. Cervantes,,,171,2,69650,0,69650,69186
,171,21107,Parques y jardines. Adecuación parcela M2 El Rellano,,,171,2,99570,0,99570,74076.41
,171,21108,Parques y jardines. Replantacion ZV.R2 Los Carrizos,,,171,2,38530,0,38530,12451.32
,171,21109,Parques y jardines. Ajardinamiento 7 rotondas Av. Atlántico y Mediterráneo,,,171,2,70620,0,70620,0
,171,21110,Parques y jardines. Limpieza y desbroce parcelas municipales,,,171,2,200688.81,0,200688.81,117068.49
,171,21608,Parques y jardines. Gestión de Incidencias en el Equipamiento Urbano,,,171,2,3500,0,3500,0
,171,22135,"Parques y jardines. Campaña ""Un niño, un arbol""",,,171,2,41000,0,41000,810.7
,221,16000,Otras prestaciones económicas a favor de empleados. Seguridad Social,,,221,1,3116012.75,0,3116012.75,1361823.78
,221,16108,Otras prestaciones económicas a favor de empleados. Indemnizaciones al personal por años de servicio en El Ayuntamiento,,,221,1,28750,0,28750,9900
,221,16109,Otras prestaciones económicas a favor de empleados. Complemento Compensación I.L.T.,,,221,1,60000,56475,116475,56275
,221,16200,Otras prestaciones económicas a favor de empleados. Formación y perfeccionamiento del personal,,,221,1,131265.78,10782,142047.78,31310.65
,221,16203,Otras prestaciones económicas a favor de empleados. Ayuda de estudios,,,221,1,105012.62,16495.21,121507.83,10930.63
,221,16204,Otras prestaciones económicas a favor de empleados. Acción social,,,221,1,171271.56,318935.63,490207.19,337752.19
,221,16206,Otras prestaciones económicas a favor de empleados. Prevención de riesgos laborales,,,221,1,46800,14050,60850,37260.29
,221,16207,Otras prestaciones económicas a favor de empleados. Reconocimientos y analíticas,,,221,1,14300,0,14300,5923.9
,221,16208,Otras prestaciones económicas a favor de empleados. Plan de pensiones,,,221,1,175021.04,0,175021.04,0
,221,16209,Otras prestaciones económicas a favor de empleados. Otros gastos sociales,,,221,1,7975,0,7975,0
,231,12003,Asistencia social primaria. Sueldos del Grupo C1,,,231,1,1707.69,0,1707.69,0
,231,12004,Asistencia social primaria. Sueldos del Grupo C2,,,231,1,25420.2,0,25420.2,8462.46
,231,12006,Asistencia social primaria. Trienios,,,231,1,759.32,0,759.32,379.17
,231,12100,Asistencia social primaria. Complemento de destino,,,231,1,14208.01,0,14208.01,4312.98
,231,12101,Asistencia social primaria. Complemento específico,,,231,1,28544.69,0,28544.69,8678.04
,231,13100,Asistencia social primaria. Salario Base,,,231,1,97041.85,0,97041.85,33483.31
,231,13102,Asistencia social primaria. Otras Remuneraciones,,,231,1,155887,0,155887,57203.16
,231,13106,Asistencia social primaria. Trienios,,,231,1,11140.35,0,11140.35,5198.68
,231,15100,Asistencia social primaria. Gratificaciones,,,231,15100,3000,0,3000,0
,231,21303,Asistencia social primaria. Mantenimiento aparatos elevadores,,,231,2,332.03,26.52,358.55,186.16
,231,22000,Asistencia social primaria..Ordinario no inventariable,,,231,2,0,0,0,266.3
,231,22636,Asistencia social primaria. Otros servicios de Bienestar Social,,,231,2,5000,0,5000,0
,231,22715,Asistencia social primaria. Limpieza en edificios,,,231,2,3402.4,352.02,3754.42,2244.86
,231,22757,Asistencia social primaria. Programa de Atención Domiciliaria,,,231,2,80300,0,80300,27270.02
,231,22758,Asistencia social primaria. Programa de Promoción de la Autonomía,,,231,2,17942.27,0,17942.27,0
,231,22759,Asistencia social primaria. Programa de Emergencia Social,,,231,2,58821.01,0,58821.01,34240
,231,22760,Asistencia social primaria. Programa de Prevención  e Inserción Social,,,231,2,12757.65,0,12757.65,0
,231,22761,Asistencia social primaria. Programa de Atención al Menor,,,231,2,40000,0,40000,0
,231,22762,Asistencia social primaria. Programa de Teleasistencia,,,231,2,3000,0,3000,708.63
,231,23101,Asistencia social primaria..Locomoción del personal,,,231,2,0,0,0,5.36
,231,48000,Asistencia social primaria. Subvención Fundación AMAS SOCIAL,,,231,48000,1500,0,1500,0
,231,48099,Asistencia social primaria. Otras subvenciones,,,231,48099,5000,0,5000,0
,241,11000,Fomento del empleo. Retribuciones básicas,,,241,1,0,30300.06,30300.06,16036.29
,241,12000,Fomento del empleo. Sueldos del Grupo A1,,,241,1,47045.91,-3759.69,43286.22,8842.53
,241,12001,Fomento del empleo. Sueldos del Grupo A2,,,241,1,5500.89,0,5500.89,0
,241,12003,Fomento del empleo. Sueldos del Grupo C1,,,241,1,10181.08,0,10181.08,0
,241,12004,Fomento del empleo. Sueldos del Grupo C2,,,241,1,25420.2,0,25420.2,4231.23
,241,12006,Fomento del empleo. Trienios,,,241,1,2500.51,0,2500.51,1143.03
,241,12100,Fomento del empleo. Complemento de destino,,,241,1,60019.08,-6187.81,53831.27,7146.75
,241,12101,Fomento del empleo. Complemento específico,,,241,1,104720.96,-8483.04,96237.92,17748.06
,241,13000,Fomento del empleo. Retribuciones básicas,,,241,1,15510.74,0,15510.74,7718.51
,241,13002,Fomento del empleo. Otras remuneraciones,,,241,1,18911.12,0,18911.12,9472.17
,241,13006,Fomento del empleo. Trienios,,,241,1,1524.32,0,1524.32,759.44
,241,13100,Fomento del empleo. Salario Base,,,241,1,89847.84,0,89847.84,35278.12
,241,13102,Fomento del empleo. Otras Remuneraciones,,,241,1,124622.88,0,124622.88,63000.08
,241,13106,Fomento del empleo. Trienios,,,241,1,1123.84,0,1123.84,472.66
,241,14309,Fomento del empleo..Personal  Insercción Laboral,,,241,1,0,0,0,21785.7
,241,15100,Fomento del empleo. Gratificaciones,,,241,15100,3000,18430.54,21430.54,231.25
,241,20601,Fomento del empleo..Alquiler equipos para procesos información fotocopiadoras,,,241,2,0,235.1,235.1,1162.83
,241,21301,"Fomento del empleo. Mantenimiento, maquinaria, instalacciones y utillaje",,,241,2,3000,0,3000,3024.34
,241,21303,Fomento del empleo..Mantenimiento aparatos elevadores,,,241,2,0,0,0,0
,241,22002,"Fomento del empleo..Material, informático no inventariable",,,241,2,0,0,0,527.56
,241,22100,Fomento del empleo. Energía eléctrica,,,241,2,6000,0,6000,1820.15
,241,22101,Fomento del empleo..Agua,,,241,2,500,0,500,0
,241,22106,Fomento del empleo. Productos farmacéuticos y material sanitario,,,241,2,400,0,400,0
,241,22126,Fomento del empleo..Suministros Cursos de Formación para el Empleo,,,241,2,10000,0,10000,0
,241,22199,Fomento del empleo. Otros suministros,,,241,2,500,0,500,159.96
,241,22402,Fomento del empleo. Primas de seguros empleo,,,241,2,6600,0,6600,889.68
,241,22602,Fomento del empleo. Publicidad y propaganda,,,241,2,8800,7854.52,16654.52,373.16
,241,22607,Fomento del empleo. Oposiciones y pruebas selectivas,,,241,2,20000,0,20000,7986
,241,22630,Fomento del empleo. Promoción del Empleo,,,241,2,20000,-6700,13300,0
,241,22646,Fomento del empleo..Otros gastos Cursos de Formación para el Empleo,,,241,2,15000,0,15000,0
,241,22650,Fomento del empleo. Formacion personal trabajadores temporales de colaboracion social,,,241,2,4000,0,4000,0
,241,22699,Fomento del empleo. Otros gastos diversos,,,241,2,2000,0,2000,2141.7
,241,22715,Fomento del empleo. Limpieza en edificios,,,241,2,15132.26,0,15132.26,17130.86
,241,22742,Fomento del empleo. Formación,,,241,2,6000,0,6000,0
,241,23101,Fomento del empleo. Locomoción del personal,,,241,2,6000,0,6000,47.2
,241,63208,Fomento del empleo..REFORMA BAÑOS EMPLEO,,,241,63208,0,6700,6700,5244.1
,242,14302,PLAN EMPLEO JOVEN C.M. Profesorado Plan Empleo Joven C.M.,,,242,1,17300.93,0,17300.93,0
,242,14303,PLAN EMPLEO JOVEN C.M. Jóvenes cualificados plan empleo joven C.M.,,,242,1,50000,0,50000,0
,242,14304,PLAN EMPLEO JOVEN C.M. Apredices Plan Empleo Joven C.M.,,,242,1,140000,0,140000,0
,242,22104,PLAN EMPLEO JOVEN C.M. Vestuario,,,242,2,11658.74,0,11658.74,0
,242,22126,PLAN EMPLEO JOVEN C.M. Suministros Cursos de Formación para el Empleo,,,242,2,57000,0,57000,0
,242,22199,PLAN EMPLEO JOVEN C.M. Otros suministros,,,242,2,11700,0,11700,0
,242,22408,PLAN EMPLEO JOVEN C.M. Seguros para Cursos de Formación para el Empleo,,,242,2,500,0,500,0
,243,14003,DESEMPLEADOS DE LARGA DURACIÓN (RDLD/0038/2016) Salarios,,,243,1,68796,0,68796,64214.05
,243,22126,DESEMPLEADOS DE LARGA DURACIÓN (RDLD/0038/2016) Suministros Cursos de Formación para el Empleo,,,243,2,8000,0,8000,8000
,244,14003,JOVENES DESEMPLEADOS L/d Salarios,,,244,1,63000,0,63000,48294.59
,244,22126,JOVENES DESEMPLEADOS L/d Suministros Cursos de Formación para el Empleo,,,244,2,27000,0,27000,21500.4
,245,14003,JOVENES DESEMPLEADOS L/D (GJADLD/0020/2016) Salarios,,,245,1,23587.2,0,23587.2,19465.34
,245,22126,JOVENES DESEMPLEADOS L/D (GJADLD/0020/2016) Suministros Cursos de Formación para el Empleo,,,245,2,2400,0,2400,2400
,246,14003,JOVENES DESEMPLEADOS LARGA DURACION GJCDLD/0020/2017.Salarios,,,246,1,0,63000,63000,0
,246,22126,JOVENES DESEMPLEADOS LARGA DURACION GJCDLD/0020/2017.Suministros Cursos de Formación para el Empleo,,,246,2,0,28800,28800,0
,247,14003,JOVENES DESEMPLEADOS L/D GJADLD/0025/2017.Salarios,,,247,1,0,50954.4,50954.4,0
,247,22126,JOVENES DESEMPLEADOS L/D GJADLD/0025/2017.Suministros Cursos de Formación para el Empleo,,,247,2,0,4800,4800,0
,249,14003,REACTIVACION PROFESIONAL L/D MAYORES 30 AÑOS RDLD/0036/2017.Salarios,,,249,1,0,65816.1,65816.1,0
,249,22126,REACTIVACION PROFESIONAL L/D MAYORES 30 AÑOS RDLD/0036/2017.Suministros Cursos de Formación para el Empleo,,,249,2,0,8000,8000,0
,311,22711,Protección de la salubridad pública Recogida y control de animales,,,311,2,75000,50000,125000,27549.44
,313,12004,Acciones Públicas relativas a la Salud Sueldos del Grupo C2,,,313,1,8473.4,0,8473.4,0
,313,12100,Acciones Públicas relativas a la Salud Complemento de destino,,,313,1,4312.84,0,4312.84,0
,313,12101,Acciones Públicas relativas a la Salud Complemento específico,,,313,1,8678,0,8678,0
,313,22400,Acciones Públicas relativas a la Salud Primas de seguros,,,313,2,4066.77,0,4066.77,1258.4
,313,22712,Acciones Públicas relativas a la Salud Controles higiénico sanitarios,,,313,2,1800,813.12,2613.12,638.88
,320,12003,Administración general de educación. Sueldos del Grupo C1,,,320,1,1707,0,1707,2949.5
,320,12004,Educación. Sueldos del Grupo C2,,,320,1,16946.8,0,16946.8,9223.14
,320,12006,Educación. Trienios,,,320,1,1012.42,0,1012.42,505.56
,320,12100,Educación. Complemento de destino,,,320,1,9895.17,0,9895.17,4947.67
,320,12101,Educación. Complemento específico,,,320,1,19866.69,0,19866.69,9933.35
,320,13000,Educación. Salario Base,,,320,1,7755.37,0,7755.37,3877.72
,320,13002,Educación. Otras remuneraciones,,,320,1,13766.3,0,13766.3,7506.61
,320,13006,Educación. Trienios,,,320,1,1660.42,0,1660.42,802.99
,320,13100,Educación. Salario Base,,,320,1,156023.04,-27119.96,128903.08,62912.21
,320,13102,Educación. Otras Remuneraciones,,,320,1,111886.72,-46697.36,65189.36,30616.84
,320,13106,Educación. Trienios,,,320,1,5540.44,0,5540.44,2712.69
,320,15100,Educación. Gratificaciones,,,320,15100,5000,0,5000,3244.81
,320,20601,Administración general de educación..Alquiler equipos para procesos información fotocopiadoras,,,320,2,0,0,0,659.26
,320,21206,Educación..Reparación e instalación en colegios,,,320,2,150000,73817.32,223817.32,1077.44
,320,21301,"Educación. Mant. maquinaria, instal. y utillaje",,,320,2,76255,0,76255,4792.06
,320,21303,Educación. Mant. aparatos elevadores,,,320,2,4250.62,392.87,4643.49,2615.55
,320,22000,Educación. Ordinario no inventariable,,,320,2,1000,0,1000,11.91
,320,22002,"Educación. Material, informático no inventariable",,,320,2,1000,0,1000,0
,320,22100,Educación. Energía eléctrica,,,320,2,125000,0,125000,67554.87
,320,22101,Educación. Agua,,,320,2,40000,0,40000,16643.91
,320,22103,Educación. Combustibles y carburantes,,,320,2,80000,0,80000,39876.32
,320,22199,Educación. Otros suministros,,,320,2,5000,0,5000,3377.71
,320,22400,Educación. Primas de seguros,,,320,2,40821.37,0,40821.37,2812.68
,320,22611,Educación. Taller de cultura enseñanza,,,320,2,10000,0,10000,0
,320,22639,Educación. Campañas Escolares,,,320,2,10000,0,10000,0
,320,22699,Educación. Otros gastos diversos,,,320,2,6000,0,6000,7940.67
,320,22715,Educación. Limpieza en edificios,,,320,2,315954.72,37305.93,353260.65,204305.43
,320,22751,Educación.Iluminación y sonido,,,320,2,0,3747.13,3747.13,1998.92
,320,22772,Educación. Educación en valores a través del Deporte Alternativo,,,320,2,70785,0,70785,0
,320,23101,Educación.Locomoción del personal,,,320,2,0,0,0,46.94
,320,48001,Educación. AMPA IES Secundaria,,,320,48001,7500,0,7500,0
,320,48002,Educación. AMPA Colegio público Las Castañeras,,,320,48002,7500,2313.45,9813.45,2313.45
,320,48003,Educación. Plan Local Mejora y Extensión Servicios Educativos,,,320,48003,42000,13984.13,55984.13,13984.13
,320,48004,Educación. AMPA Colegio público Fco. de Orellana,,,320,48004,7500,0,7500,0
,320,48005,Educación. AMPA Colegio público Legazpi,,,320,48005,7500,0,7500,0
,320,48006,Educación. AMPA Colegio público el Torreón,,,320,48006,7500,0,7500,0
,320,48017,Educación..AMPA Colegio Los Arenales,,,320,48017,7500,330.45,7830.45,330.45
,320,48019,Educación. AMPA IES  Gonzalo Chacon,,,320,48019,7500,0,7500,0
,320,48021,Educación. AMPA Colegio Pasteur,,,320,48021,7500,0,7500,0
,320,48024,Educación. Subvención  Asociación Scoutt,,,320,48024,2000,0,2000,0
,320,48026,Educación. Subvenciones Ayudas para Libros,,,320,48026,30000,29700,59700,20487.62
,320,48039,Educación. AMPA CEIP Averroes,,,320,48039,2000,0,2000,0
,320,48040,Educación. Subvención educación para el desarrollo,,,320,48040,28000,0,28000,0
,320,48101,Educación..Premios concursos y certámenes escolares,,,320,48101,908.23,0,908.23,687.28
,330,11000,Cultura. Retribuciones básicas,,,330,1,0,30300.06,30300.06,14890.32
,330,12001,Cultura. Sueldos del Grupo A2,,,330,1,13559.58,0,13559.58,0
,330,12003,Cultura. Sueldos del Grupo C1,,,330,1,3415.38,0,3415.38,0
,330,12004,Cultura. Sueldos del Grupo C2,,,330,1,25420.2,0,25420.2,8043.24
,330,12006,Cultura. Trienios,,,330,1,1012.42,0,1012.42,814.99
,330,12100,Cultura. Complemento de destino,,,330,1,25985.22,0,25985.22,4398.71
,330,12101,Cultura. Complemento específico,,,330,1,44531.5,0,44531.5,8315.35
,330,13000,Cultura. Salario Base,,,330,1,14686.86,0,14686.86,7997.03
,330,13002,Cultura. Otras remuneraciones,,,330,1,12990.84,0,12990.84,6495.51
,330,13006,Cultura. Trienios,,,330,1,887.32,0,887.32,793.35
,330,13100,Cultura. Salario Base,,,330,1,8473.4,0,8473.4,10269.04
,330,13102,Cultura. Otras Remuneraciones,,,330,1,22378.57,0,22378.57,21784.3
,330,13106,Cultura. Trienios,,,330,1,759.32,0,759.32,379.17
,330,15100,Cultura. Gratificaciones,,,330,15100,3000,0,3000,2473.8
,330,20300,"Cultura. Arrend.de maquinaria, instal.y utillaje",,,330,2,1000,0,1000,0
,330,20601,Administración General de Cultura..Alquiler equipos para procesos información fotocopiadoras,,,330,2,0,90.75,90.75,726
,330,20608,Cultura. Arrendamiento Sistema Venta de Entradas,,,330,2,5287.17,4538.75,9825.92,1115.16
,330,21301,"Cultura. Mant. maquinaria, instal. y utillaje",,,330,2,8000,0,8000,4871.21
,330,21303,Cultura. Mant. aparatos elevadores,,,330,2,6618.6,608.79,7227.39,4272.51
,330,22100,Cultura. Energía eléctrica,,,330,2,115000,0,115000,91618.28
,330,22101,Cultura. Agua,,,330,2,6000,0,6000,4588.34
,330,22103,Cultura. Combustibles y carburantes,,,330,2,30000,0,30000,18923.97
,330,22104,Cultura Vestuario,,,330,2,3000,0,3000,0
,330,22139,Administración General de Cultura..CORTINAS Y ESTORES AULAS DE CULTURA,,,330,2,0,3500,3500,719.56
