#Denominación,Prog.,Econ.,Fecha,NIF,Nombre empresa,Descripción,Importe,Descuentos,
Seguridad  y Protección Civil. Otros gastos diversos,320,22699,08/05/2013,A79935607,"A.D.DECATHLON.,S.A.",MATERIAL PARA DISFRACES CARNAVAL CASA DE NIÑOS - NUMERO DE FAC.: 5562013000278 DE FECHA OPERACION: 08/05/2013,"9,96","0,00",#NAME?
Seguridad  y Protección Civil. Otros gastos diversos,340,22699,26/12/2013,A79935607,"A.D.DECATHLON.,S.A.",PELOTAS PING PONG ACF DEPORTES - NUMERO DE FAC.: 5562013000929 DE FECHA OPERACION: 26/12/2013,"3,78","0,00",#NAME?
Seguridad  y Protección Civil. Otros gastos diversos,340,22699,26/12/2013,A79935607,"A.D.DECATHLON.,S.A.",PREMIO CARRERA ACF DEPORTES - NUMERO DE FAC.: 5562013001320 DE FECHA OPERACION: 26/12/2013,"114,80","0,00",#NAME?
Seguridad  y Protección Civil. Mantenimiento equipos para procesos de información,920,21600,07/05/2013,B59383596,"ABSIS ABS INFORMATICA.,S.L.",CONTRATO DE MANTENIMIENTO PERIODO DEL 01/01/2013 AL 31/03/2013 - NUMERO DE FAC.: MV/916 DE FECHA OPERACION: 16/04/2013,"2.915,95","0,00",#NAME?
Seguridad  y Protección Civil. Mantenimiento equipos para procesos de información,920,21600,20/05/2013,B59383596,"ABSIS ABS INFORMATICA.,S.L.",CONTRATO DE MANTENIMIENTO DEL 01/04/2013 AL 30/06/2013 - NUMERO DE FAC.: MV/1118 DE FECHA OPERACION: 06/05/2013,"2.915,91","0,00",#NAME?
Seguridad  y Protección Civil. Mantenimiento equipos para procesos de información,920,21600,14/08/2013,B59383596,"ABSIS ABS INFORMATICA.,S.L.",MANTENIMIENTO PROGRAMA ABSIS DEL 01/07/2013 AL 30/09/2013 -  APROBADO POR DECRETO DE ALCALDIA 1646/2013 - NUMERO DE FAC.: MV/1265 DE FECHA OPERACION: 01/08/2013,"2.915,91","0,00",#NAME?
Seguridad  y Protección Civil. Mantenimiento equipos para procesos de información,920,21600,15/11/2013,B59383596,"ABSIS ABS INFORMATICA.,S.L.","MANTENIMIENTO PROGRAMA ABSIS PERIODO DEL 01/10/2013 AL 31/12/2013, APROBADA CON DECRETO 2073/2013 - NUMERO DE FAC.: MV/1342 DE FECHA OPERACION: 15/10/2013 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2197/2013","2.915,91","0,00",#NAME?
Seguridad  y Protección Civil. Mantenimiento equipos para procesos de información,920,21600,20/06/2013,A82743287,"AC CAMERFIRMA,S.A.",SEDE ELECTRONI CA NIVEL MEDIO 3 AÑOS - NUMERO DE FAC.: 278 DE FECHA OPERACION: 24/05/2013,"1.452,00","0,00",#NAME?
"Seguridad  y Protección Civil. Prensa, revistas, libros y otras publicaciones",330,22001,07/03/2013,B64064512,"AD-LANTE MARQUETING Y PUBLICIDAD.,S.L.",SUSCRTIPCION REVISTA LONEL Y PLANET MAGAZINE 12 MESES - NUMERO DE FAC.: 183609 DE FECHA OPERACION: 15/02/2013,"37,92","0,00",#NAME?
Seguridad  y Protección Civil. Ordinario no inventariable,330,22000,28/05/2013,B65783474,"AFNIA DESING.,S.L.",SUMINISTROS BIBLIOTECA - NUMERO DE FAC.: 200094 DE FECHA OPERACION: 21/05/2013,"93,53","0,00",#NAME?
Cultura. Actividades culturales,330,22609,22/03/2013,B05128764,"AGADA.,S.L.","REPRESENTACION ""EL PRINCIPITO"" DE TEATRO SILFO EL DÍA 02/03/13 - NUMERO DE FAC.: 020/13 DE FECHA OPERACION: 12/03/2013","635,25","0,00",#NAME?
Cultura. Actividades culturales,330,22609,02/08/2013,B05128764,"AGADA.,S.L.",REPRESENTACION  LA VERDADERA HISTORIA DE LOS TRES CERDITOS - NUMERO DE FAC.: 055/13 DE FECHA OPERACION: 19/07/2013,"2.420,00","0,00",#NAME?
Seguridad  y Protección Civil. Otros gastos diversos,151,22699,28/11/2013,A28620847,"AGUIVE.,S.A.",5 LLAVES HUERTOS MUNICIPALES CONCEJALÍA DE URBANISMO - NUMERO DE FAC.: 52180001960 DE FECHA OPERACION: 28/11/2013,"15,00","0,00",#NAME?
Seguridad  y Protección Civil. Otros gastos diversos,330,22699,31/12/2013,A28620847,"AGUIVE.,S.A.",TROFEO PLACA CONCIERTO BANDAS ACF CONCEJALIA CULTURA - NUMERO DE FAC.: 52180002029 DE FECHA OPERACION: 31/12/2013,"82,90","0,00",#NAME?
Fiestas populares y festejos. Fiestas y eventos populares municipales,338,22735,05/07/2013,,Este concepto recoge personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos.,INTERVENCION PRESENTADORA FIESTAS DEL CORPUS 2013 - NUMERO DE FAC.: A-2013/001 DE FECHA OPERACION: 24/06/2013,"1.089,00","189,00",#NAME?
Deportes. Otras actividades deportivas,340,22615,18/07/2013,B84601053,AIP GESTION DEPORTIVA,EXHIBICION Y CLINIC INAUGURACION PISTA DE TENIS - NUMERO DE FAC.: 000016-2013 DE FECHA OPERACION: 18/07/2013,"2.100,00","0,00",#NAME?
Deportes. Empresas deportivas,340,22733,14/08/2013,B84601053,AIP GESTION DEPORTIVA,SUPLENCIAS MONITORES DEPORTIVOS -  APROBADO POR DECRETO DE ALCALDIA 1646/2013 - NUMERO DE FAC.: 000017-2013 DE FECHA OPERACION: 01/08/2013,"400,00","0,00",#NAME?
Deportes. Empresas deportivas,340,22733,20/06/2013,B84601053,AIP GESTION DEPORTIVA,SUSTITUCIONES MONITORES DEPORTIVOS - NUMERO DE FAC.: 000010-2013 DE FECHA OPERACION: 24/05/2013,"287,50","0,00",#NAME?
Seguridad  y Protección Civil. Otros gastos diversos,160,22699,26/12/2013,B28766970,AISLAMIENTOS UNIFICADOS SL,AISLAMIENTOS  ACF SERVICIOS - NUMERO DE FAC.: 13-1-2-013959 DE FECHA OPERACION: 26/12/2013,"38,78","0,00",#NAME?
Seguridad  y Protección Civil. Vestuario,340,22104,20/05/2013,,Este concepto recoge personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos.,SUMINISTRO 17 PACK JUGADOR  - SUSTITUYE A LA FRA . 02-20130314 - NUMERO DE FAC.: 02.20130322 DE FECHA OPERACION: 22/04/2013,"514,25","0,00",#NAME?
Seguridad  y Protección Civil. Vestuario,340,22104,29/11/2013,,Este concepto recoge personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos.,"SUMINISTRO ROPA DEPORTIVA, APROBADA CON DECRETO 2184/2013 - NUMERO DE FAC.: 49-20131025 DE FECHA OPERACION: 29/10/2013 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2269/2013","1.269,05","0,00",#NAME?
Seguridad  y Protección Civil. Otros gastos diversos,160,22699,08/05/2013,A28581882,ALCAMPO,3 CALEFACTORES 815775 - NUMERO DE FAC.: 130203700901 DE FECHA OPERACION: 08/05/2013,"38,70","0,00",#NAME?
Seguridad  y Protección Civil. Otros gastos diversos,234,22699,28/11/2013,A28581882,ALCAMPO,8 JUEGOS DE VIAJE CONCEJALÍA DE JUVENTUD E INFANCIA - NUMERO DE FAC.: 130503702386 DE FECHA OPERACION: 28/11/2013,"31,20","0,00",#NAME?
Seguridad y Protección Civil. Complemento específico,130,12101,15/11/2013,,Este concepto recoge personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos.,ANTICIPO A CUENTA NOMINA MES DE NOVIEMBRE SEGUN DECRETO 2247/2013,"700,00","0,00",#NAME?
Seguridad y Protección Civil. Complemento específico,130,12101,25/11/2013,,Este concepto recoge personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos.,REINEGRO ANTICIPO A CUENTA NOMINA MES DE NOVIEMBRE,"-700,00","0,00",#NAME?
Seguridad y Protección Civil. Complemento específico,130,12101,12/12/2013,,Este concepto recoge personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos.,ANTICIPO A CUENTA DE LA NOMINA DE DICIEMBRE SEGUN Dº 2412/2013,"400,00","0,00",#NAME?
Seguridad y Protección Civil. Complemento específico,130,12101,20/12/2013,,Este concepto recoge personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos.,REINTEGRO ANTICIPO A CUENTA DE LA NOMINA DE DICIEMBRE,"-400,00","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,14/02/2013,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10: ALQUILER VEHICULOS POLICIA. ENERO 2013 - APROBADA POR DECRETO Nº 229/2013 - NUMERO DE FAC.: 01300004485 DE FECHA OPERACION: 07/02/2013,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,05/03/2013,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10  MES DE FEBRERO. ALQUILER VEHICULOS SEGURIDAD CIUDADANA - APROBADO POR DECRETO Nº 448/2013 - NUMERO DE FAC.: 01300016694 DE FECHA OPERACION: 25/02/2013,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,10/04/2013,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10. ALQUILER VEHICULOS POLICA LOCAL MES DE MARZO  - APROBADO POR DECRETO Nº 739/2013 - NUMERO DE FAC.: 013000328362 DE FECHA OPERACION: 03/04/2013,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,29/04/2013,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10. ABRIL. ALQUILER VEHICULOS POLICIA LOCAL - APROBADA POR DECRETO Nº 855/2013 - NUMERO DE FAC.: 01300044056 DE FECHA OPERACION: 19/04/2013,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,27/05/2013,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 42/13 MES DE MAYO CUOTA RENTING VEHICULOS POLICIA LOCAL - APROBADA POR DECRETO Nº 1.072/2013 - NUMERO DE FAC.: 01300056958 DE FECHA OPERACION: 17/05/2013,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,18/07/2013,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10 JUNIO. ALQUILER VEHICULOS POLICIA LOCAL - APROBADO POR Dº 1455/2013 - NUMERO DE FAC.: 01300068058 DE FECHA OPERACION: 10/07/2013,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,07/08/2013,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10 ALQUILER VEHICULOS  SEGURIDAD CIUDADANA MES DE JULIO - APROBADA POR DECRETO Nº 1595/2013 - NUMERO DE FAC.: 01300082118 DE FECHA OPERACION: 25/07/2013,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,12/09/2013,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10. AGOSTO. ALQUILER VEHICULOS SEGURIDAD CIUDADANA  - APROBADO POR DECRETO DE ALCALDIA Nº 1.722/2013 - NUMERO DE FAC.: 01300095402 DE FECHA OPERACION: 23/08/2013,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,23/10/2013,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10 SEPTIEMBRE. ALQUILER VEHICULOS POLICIA LOCAL - APROBADO POR DECRETO Nº 1.941/2013 - NUMERO DE FAC.: 01300106551 DE FECHA OPERACION: 30/09/2013 DECRETO DE ORDENACIÓN DE PAGO 1974/2013,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,15/11/2013,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE. 26/10. OCTUBRE. ALQUILER VEHICULOS DE LA POLICIA - APROBADO POR DECRETO Nº 2.153/2013 - NUMERO DE FAC.: 01300119838 DE FECHA OPERACION: 24/10/2013 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2157/2013,"3.104,67","0,00",#NAME?
Seguridad  y Protección Civil. Alquiler de vehiculos,130,20400,20/12/2013,A91001438,"ALPHABET ESPAÑA FLEET MANAGEMENT, SAU",EXPTE.  26/10  ALQUILER VEHICULOS POLICIA LOCAL MES DE  NOVIEMBRE - APROBADA POR DECRETO Nº 2.468/2013 - NUMERO DE FAC.: 01300131366 DE FECHA OPERACION: 10/12/2013 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2469/2013,"3.104,67","0,00",#NAME?
Servicios Generales.Estudios y trabajos técnicos,920,22706,22/03/2013,A79153920,ALTEN,SERVICIO DE AUDITORIA DE SISTEMAS - NUMERO DE FAC.: FPC-13/0035 DE FECHA OPERACION: 22/02/2013,"3.811,50","0,00",#NAME?
Servicios Generales Otras reparaciones y mantenimientos,160,21102,07/05/2013,B83599951,"ALUMORA.,S.L.",TRABAJOS REALIZADOS EN AUDITORIO MUNICIPAL Y EN POLIDEPORTIVO LA DEHESA - NUMERO DE FAC.: 0501 DE FECHA OPERACION: 18/04/2013,"191,18","0,00",#NAME?
Servicios Generales Otras reparaciones y mantenimientos,160,21102,18/04/2013,B83599951,"ALUMORA.,S.L.",SUSTITUCION DE MECANISMO EN VENTANA EDIFICIO DE 3º EDAD - NUMERO DE FAC.: 0495 DE FECHA OPERACION: 22/03/2013,"169,40","0,00",#NAME?
Seguridad  y Prtección Civil. Otros suministros,160,22199,20/06/2013,B83599951,"ALUMORA.,S.L.",SUMINISTRO PERFIL DE ALUMINIO - NUMERO DE FAC.: 0509 DE FECHA OPERACION: 07/06/2013,"30,25","0,00",#NAME?
Seguridad  y Prtección Civil. Otros suministros,160,22199,08/11/2013,B83599951,"ALUMORA.,S.L.","SUMINISTRO E INSTALACION DE JUNQUILLO EN COLEGIO FRANCISCO DE ORELLANA, APROBADA CON DECRETO 2073/2013 - NUMERO DE FAC.: 0531 DE FECHA OPERACION: 15/10/2013 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2197/2013","65,34","0,00",#NAME?
Deportes. Material suministros y otros deportes,340,22107,22/03/2013,A60647492,"AMERICA & EUROPEAN SPORTS, S.A.",SUMINISTRO MATERIAL DEPORTIVO - NUMERO DE FAC.: 130071 DE FECHA OPERACION: 25/02/2013,"251,08","0,00",#NAME?
Deportes. Material suministros y otros deportes,340,22107,20/12/2013,A60647492,"AMERICA & EUROPEAN SPORTS, S.A.","SUMINISTRO BALONES, PARA BALONCESTO, APROBADA CON DECRETO 2367/2013 - NUMERO DE FAC.: 130692 DE FECHA OPERACION: 26/11/2013 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2466/2013","592,60","0,00",#NAME?
Educación. Plan Local Mejora y Extensión Servicios Educativos,320,48003,20/05/2013,G80256597,AMPA C.P. EL TORREON,SUBVENCION ACTIVIDADES EXTRAESCOLARES CURSO 2012/2013  AMPA CEIP EL TORREON SEGUN DECRETO 915/2013,"7.569,60","0,00",#NAME?
Educación. Plan Local Mejora y Extensión Servicios Educativos,320,48003,17/06/2013,G80256597,AMPA C.P. EL TORREON,SUBVENCION ACTIVIDADES EXTRAESCOLARES CURSO 2012/2013 (PARTE DEL 2013). AMPA CEIP EL TORREON SEGUN DECRETO 1046/2013,"1.526,00","0,00",#NAME?
Educación. Plan Local Mejora y Extensión Servicios Educativos,320,48003,12/07/2013,G80256597,AMPA C.P. EL TORREON,SUBVENCION ACTIVIDADES EXTRAESCOLARES  AMPA CEIP EL TORREON SEGUN DECRETO 1320/2013,"1.124,90","0,00",#NAME?
Educación. AMPA Colegio público el Torreón,320,48006,20/05/2013,G80256597,AMPA C.P. EL TORREON,SUBVENCION NOMINATIVA AMPA CEIP EL TORREON AÑO 2013 SEGUN DECRETO 914/2013,"7.500,00","0,00",#NAME?
Educación. AMPA Colegio público el Torreón,320,48006,28/05/2013,G80256597,AMPA C.P. EL TORREON,AYUDA COMEDOR COLEGIO EL TORREON SEGUN DECRETO 1015/2013,"1.810,09","0,00",#NAME?
Educación. AMPA Colegio público el Torreón,320,48006,29/11/2013,G80256597,AMPA C.P. EL TORREON,AYUDA COMEDOR COLEGIO EL TORREON SEGUN DECRETO 2206/2013,"2.721,83","0,00",#NAME?
Educación. AMPA Colegio público el Torreón,320,48006,21/11/2013,G80256597,AMPA C.P. EL TORREON,ANEXO CONVENIO SUBVENCION AMPA CEIP EL TORREON (CAMPAMENTOS URBANOS EN LOS COLEGIOS) SEGUN DECRETO 2226/2013,"2.250,00","0,00",#NAME?
Educación. Plan Local Mejora y Extensión Servicios Educativos,320,48003,20/05/2013,G84780188,AMPA CEIP FRANCISCO DE ORELLANA,SUBVENCION ACTIVIDADES EXTRAESCOLARES FRANCISCO DE ORELLANA SEGUN DECRETO 882/2013,"6.504,50","0,00",#NAME?
Educación. Plan Local Mejora y Extensión Servicios Educativos,320,48003,12/07/2013,G84780188,AMPA CEIP FRANCISCO DE ORELLANA,SUBVENCION ACTIVIDADES EXTRAESCOLARES  AMPA FRANCISCO DE ORELLANA SEGUN DECRETO 1326/2013,"3.716,00","0,00",#NAME?
Educación. AMPA Colegio público Fco. de Orellana,320,48004,28/05/2013,G84780188,AMPA CEIP FRANCISCO DE ORELLANA,AYUDA COMEDOR COLEGIO FRANCISCO DE ORELLANA SEGUN DECRETO 1019/2013,"6.593,90","0,00",#NAME?
Educación. AMPA Colegio público Fco. de Orellana,320,48004,17/06/2013,G84780188,AMPA CEIP FRANCISCO DE ORELLANA,SUBVENCION NOMINATIVA AMPA CEIP FRANCISCO DE ORELLANA SEGUN DECRETO 1102/2013,"6.682,92","0,00",#NAME?
Educación. AMPA Colegio público Fco. de Orellana,320,48004,12/07/2013,G84780188,AMPA CEIP FRANCISCO DE ORELLANA,SUBVENCION NOMINATIVA AMPA CEIP FRANCISCO DE ORELLANA SEGUN DECRETO 1323/2013,"817,08","0,00",#NAME?
Educación. AMPA Colegio público Fco. de Orellana,320,48004,21/11/2013,G84780188,AMPA CEIP FRANCISCO DE ORELLANA,ANEXO CONVENIO SUBVENCION AMPA CEIP FRANCISCO ORELLANA (CAMPAMENTOS URBANOS EN LOS COLEGIOS) SEGUN DECRETO 2231/2013,"2.250,00","0,00",#NAME?
Educación. Plan Local Mejora y Extensión Servicios Educativos,320,48003,07/05/2013,G85173565,AMPA CEIP LEGAZPI,SUBVENCION ACTIVIDADES EXTRAESCOLARES CURSO 2012/2013 (PARTE DEL 2013)  SEGUN DECRETO 885/2013,"6.009,00","0,00",#NAME?
Educación. Plan Local Mejora y Extensión Servicios Educativos,320,48003,12/07/2013,G85173565,AMPA CEIP LEGAZPI,SUBVENCION ACTIVIDADES EXTRAESCOLARES AMPA LEGAZPI SEGUN DECRETO 1332/2013,"2.931,00","0,00",#NAME?
Educación. Plan Local Mejora y Extensión Servicios Educativos,320,48003,22/07/2013,G85173565,AMPA CEIP LEGAZPI,SUBVENCION  ACTIVIDADES EXTRAESCOLARES CURSO 2012/2013 AMPA LEGAZPI SEGUN DECRETO 1423/2013,"1.280,50","0,00",#NAME?
Educación. AMPA Colegio público Legazpi,320,48005,07/05/2013,G85173565,AMPA CEIP LEGAZPI,SUBVENCION NOMINATIVA CEIP LEGAZPI SEGUN DECRETO 879/2013,"882,00","0,00",#NAME?
Educación. AMPA Colegio público Legazpi,320,48005,28/05/2013,G85173565,AMPA CEIP LEGAZPI,SUBVENCION NOMINATIVA CEIP LEGAZPI SEGUN DECRETO 950/2013,"2.372,00","0,00",#NAME?
Educación. AMPA Colegio público Legazpi,320,48005,17/06/2013,G85173565,AMPA CEIP LEGAZPI,SUBVENCION NOMINATIVA CEIP LEGAZPI SEGUN DECRETO 1100/2013,"793,01","0,00",#NAME?
Educación. AMPA Colegio público Legazpi,320,48005,22/07/2013,G85173565,AMPA CEIP LEGAZPI,SUBVENCION NOMINATIVA CEIP LEGAZPI SEGUN DECRETO 1422/2013,"756,00","0,00",#NAME?
Educación. AMPA Colegio público Legazpi,320,48005,28/05/2013,G85173565,AMPA CEIP LEGAZPI,AYUDA COMEDOR COLEGO LEGAZPI SEGUN DECRETO 1018/2013,"786,80","0,00",#NAME?
Educación. AMPA Colegio público Legazpi,320,48005,29/11/2013,G85173565,AMPA CEIP LEGAZPI,AYUDA COMEDOR COLEGO LEGAZPI SEGUN DECRETO 2287/2013,"3.147,20","0,00",#NAME?
Educación..AMPA Colegio Los Arenales,320,48017,18/09/2013,G86130952,AMPA COLEGIO ARENALES,AYUDA COMEDOR COLEGIO LOS ARENALES DECRETO 1753/2013,"6.755,54","0,00",#NAME?
Educación. AMPA IES NUM. 2,320,48019,20/05/2013,G86578697,AMPA IES  2 GONZALO CHACON,SUBVENCION NOMINATIVA AMPA IES GONZALO CHACON SEGUN DECRETO 875/2013,"363,20","0,00",#NAME?
Educación. AMPA IES NUM. 2,320,48019,29/11/2013,G86578697,AMPA IES  2 GONZALO CHACON,SUBVENCION NOMINATIVA AMPA IES GONZALO CHACON SEGUN DECRETO 2321/2013,"3.636,80","0,00",#NAME?
Educación. AMPA IES Secundaria,320,48001,27/06/2013,G83096479,AMPA IES GABRIELA MISTRAL,SUBVENCION NOMINATIVA AMPA IES GABRIELA MISTRAL SEGUN DECRETO 1255/2013,"787,40","0,00",#NAME?
Educación. AMPA IES Secundaria,320,48001,22/07/2013,G83096479,AMPA IES GABRIELA MISTRAL,SUBVENCION NOMINATIVA AMPA IES GABRIELA MISTRAL SEGUN DECRETO 1429/2013,"1.150,00","0,00",#NAME?
Educación. AMPA IES Secundaria,320,48001,29/11/2013,G83096479,AMPA IES GABRIELA MISTRAL,SUBVENCION NOMINATIVA AMPA IES GABRIELA MISTRAL SEGUN DECRETO 2288/2013,"2.648,64","0,00",#NAME?
Educación. AMPA Colegio público Las Castañeras,320,48002,17/06/2013,G83761478,AMPA LAS CASTAÑERAS,SUBVENCION NOMINATIVA AMPA CEIP LAS CASTAÑERAS SEGUN DECRETO 1070/2013,"1.950,93","0,00",#NAME?
Educación. AMPA Colegio público Las Castañeras,320,48002,12/07/2013,G83761478,AMPA LAS CASTAÑERAS,SUBVENCION NOMINATIVA AMPA CEIP LAS CASTAÑERAS SEGUN DECRETO 1330/2013,"1.377,95","0,00",#NAME?
Educación. AMPA Colegio público Las Castañeras,320,48002,18/09/2013,G83761478,AMPA LAS CASTAÑERAS,SUBVENCION NOMINATIVA AMPA CEIP LAS CASTAÑERAS SEGUN DECRETO 1754/2013,"2.271,00","0,00",#NAME?
Educación. AMPA Colegio público Las Castañeras,320,48002,12/12/2013,G83761478,AMPA LAS CASTAÑERAS,SUBVENCION NOMINATIVA AMPA CEIP LAS CASTAÑERAS SEGUN DECRETO 2410/2013,"872,33","0,00",#NAME?
Educación. AMPA Colegio público Las Castañeras,320,48002,28/05/2013,G83761478,AMPA LAS CASTAÑERAS,AYUDA COMEDOR COLEGIO LAS CASTAÑERAS SEGUN DECRETO 1011/2013,"3.878,77","0,00",#NAME?
