#Denominación,Prog.,Econ.,Fecha,NIF,Nombre empresa,Descripción,Importe,Descuentos
Mantenimiento del sistema integrado de biblioteca,3321,21602,21/04/2016,B28078020,"3M ESPAÑA.,S.L.","SERVICIO MANTENIMIENTO SISTEMA ANTIHURTO, APROBADA CON DECRETO 777/2016 - NUMERO DE FAC.: 4011089 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 11/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 858/2016",1129.88,0
Línea de datos,926,22203,18/03/2016,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CONT MENOR -  140 LICENCIAS OFFICE 365 EMPRESA PREMIUM - MARZO 2016 - APROBADA POR DECRETO 677/2016 - NUMERO DE FAC.: 184251 DE FECHA OPERACION: 14/03/2016 Y FECHA REG. INTERVENCIÓN: 11/03/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 678/2016,1778.7,0
Línea de datos,926,22203,31/03/2016,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CONT MENOR - 40 LICENCIAS OFFICCE 365 - FEBRERO 2016 - APROBADA POR DECRETO 753/2016 - NUMERO DE FAC.: 181016 DE FECHA OPERACION: 22/03/2016 Y FECHA REG. INTERVENCIÓN: 16/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 754/2016,508.2,0
Línea de datos,926,22203,26/04/2016,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",MN 2015/01 - 140 LICENCIAS OFFICE 365 EMPRESA PREMION MES DE ABRIL - APROBADA POR DECRETO 1046/2016 - NUMERO DE FAC.: 188050 DE FECHA OPERACION: 18/04/2016 Y FECHA REG. INTERVENCIÓN: 15/04/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1047/2016,1778.7,0
Línea de datos,926,22203,25/05/2016,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",MN 2015/01 - 140 LICENCIAS OFFICE 365 EMPRESA PREMION MES DE MAYO - APROBADA POR DECRETO 1301/2016 - NUMERO DE FAC.: 191857 DE FECHA OPERACION: 16/05/2016 Y FECHA REG. INTERVENCIÓN: 12/05/2016 Y DECRETO DE ORDENACIÓN  DEL PAGO Nº 1302/2016,1778.7,0
Línea de datos,926,22203,30/06/2016,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",MN 2015/01 - 140 LICENCIAS OFFICE 365 - CUOTA PERIODICA OFFICE 365 EMPRESA PREMIUM - JUNIO 2016 - APROBADA POR DECRETO 1630/2016 - NUMERO DE FAC.: 195618 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 14/06/2016 Y DECRETO ORDENACION PAGO 1632/2016,1778.7,0
Línea de datos,926,22203,04/08/2016,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",MN 2015/01 - 140 LICENCIAS OFFICE 365 - CUOTA PERIODICA OFFICE 365 EMPRESA PREMIUM - JULIO 2016 - APROBADA POR DECRETO 1910/2016 - NUMERO DE FAC.: 199677 DE FECHA OPERACION: 26/07/2016 Y FECHA REG. INTERVENCIÓN: 18/07/2016 Y DECRETO ORDENACION PAGO 1912/2016,1778.7,0
Línea de datos,926,22203,12/08/2016,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTA PERIÓDICA: AC_O365 _E3_AAPP ayuntamiento arroyomilinos.onmicrosoft.como (16/03/2016-15/04/2016) - APROBADA POR DECRETO 2002/2016 - NUMERO DE FAC.: 1186869 DE FECHA OPERACION: 04/08/2016 Y FECHA REG. INTERVENCIÓN: 26/07/2016,219.62,0
Línea de datos,926,22203,12/08/2016,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTA PERIÓDICA: AC_O365 _E3_AAPP ayuntamiento arroyomilinos.onmicrosoft.como (16/02/2016-15/03/2016) - APROBADA POR DECRETO 2002/2016 - NUMERO DE FAC.: 1175666 DE FECHA OPERACION: 04/08/2016 Y FECHA REG. INTERVENCIÓN: 26/07/2016,219.62,0
Línea de datos,926,22203,12/08/2016,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTA PERIÓDICA: AC_O365 _E3_AAPP ayuntamiento arroyomilinos.onmicrosoft.como (16/01/2016-15/02/2016) - APROBADA POR DECRETO 2002/2016 - NUMERO DE FAC.: 1163720 DE FECHA OPERACION: 04/08/2016 Y FECHA REG. INTERVENCIÓN: 26/07/2016,203.89,0
Línea de datos,926,22203,15/09/2016,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",MN 2015/01 - 140 LICENCIAS OFFICE 365 - CUOTA PERIODICA OFFICE 365 EMPRESA PREMIUM - AGOSTO 2016 - APROBADA POR DECRETO 2172/2016 - NUMERO DE FAC.: 203218 DE FECHA OPERACION: 01/09/2016 Y FECHA REG. INTERVENCIÓN: 19/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2173/2016,1778.7,0
Línea de datos,926,22203,05/10/2016,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",MN 2015/01 - MES SEPTIEMBRE. CUOTA PERIODICA OFFICE 365 EMPRESA PREMIUM - 140 LICENCIAS OFFICE 365 - APROBADA POR DECRETO ALCALDIA 2305/2016 - NUMERO DE FAC.: 206463 DE FECHA OPERACION: 21/09/2016 Y FECHA REG. INTERVENCIÓN: 15/09/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2306/2016,1778.7,0
Línea de datos,926,22203,03/11/2016,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",MN 2015/01 - 140 LICENCIAS OFFICE 365 - OCTUBRE - APROBADA POR DECRETO 2561/2016 - NUMERO DE FAC.: 210534 DE FECHA OPERACION: 21/10/2016 Y FECHA REG. INTERVENCIÓN: 13/10/2016 Y DECRETO DE PAGO Nº 2562/2016,1778.7,0
Línea de datos,926,22203,02/12/2016,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",MN 2015/01 - 140 LICENCIAS OFFICE 365 - CUOTA PERIODICA OFFICE 365 EMPRESA PREMIUM - NOVIEMBRE 2016 - APROBADA POR DECRETO 2828/2016 - NUMERO DE FAC.: 214552 DE FECHA OPERACION: 22/11/2016 Y FECHA REG. INTERVENCIÓN: 14/11/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2829/2016,1778.7,0
Programa de emergencia social,231,22759,18/03/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDA ECONOMICA SERVICIOS SOCIALES Dº CONCESION 314/2016 - Dº APROBACION 642/2016,300,0
Programa de emergencia social,231,22759,06/06/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS ECONOMICAS SERVICIOS SOCIALES - Dº CONCESION 1125/2016 - Dº APROBACION 1440/2016 Y DECRETO PAGO 1441/2016,250,0
Formación y perfeccionamiento del personal,221,16200,20/12/2016,B26265835,"ADR INFOR, S.L.","TELEFOMACION ""CURSO GESTION TRIBUTARIA LOCAL"" MONICA ROLDAN NAVARRO Y Mª CARMEN VAZQUEZ ARRANZ - APROBADO Dº 2911/2016 - NUMERO DE FAC.: 16M/104 DE FECHA OPERACION: 30/11/2016 Y FECHA REG. INTERVENCIÓN: 13/12/2016",300,0
Adquisición de equipos informáticos,926,62605,02/12/2016,B63181440,ADTEL SISTEMAS DE TELECOMUNICACIÓN SL,CAMARA - SOPORTES - TECLADO PRESETS CAMARA - SOFTWARE IIO - APROBADO Dº 2790/2016 - NUMERO DE FAC.: A/2016/A/20160740 DE FECHA OPERACION: 16/11/2016 Y FECHA REG. INTERVENCIÓN: 25/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2791/2016,14219.18,0
"Prensa, revistas, libros y otras publicaciones",3321,22001,20/10/2016,G78216819,"AENOR, ASOCIACION ESPAÑOLA DE NORMALIZACION Y CERTIFICACIÓN",CLASIFICACION DECIMAL UNIVERSA L (CDU) ABREVIADA. ED. 2016 / GASTOS DE ENVIO - APROBADO Dº 2360/2016 - NUMERO DE FAC.: Emit-/16041226 DE FECHA OPERACION: 27/09/2016 Y FECHA REG. INTERVENCIÓN: 19/09/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2361/2016,116.8,0
"Mantenimiento, maquinaria, instalaciones y utillaje",9201,21301,25/05/2016,A58090283,AFEISA,MANTENIMIENTO TELEASTRO - APROBADO Dº 1282/2016 - NUMERO DE FAC.: 160176 DE FECHA OPERACION: 13/05/2016 Y FECHA REG. INTERVENCIÓN: 09/05/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1311/2016,774.59,0
Programa de emergencia social,231,22759,13/05/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - Dº CONCESION 1022/2016 - Dª APROBACION 1210/2016,200,0
Atenciones protocolarias y representativas,912,22601,31/05/2016,B86185659,AL DENTE,COMIDA ATENCION DE MEDIOS DE COMUNICACION - APROBADO Dº 1282/2016 - NUMERO DE FAC.: 4611 DE FECHA OPERACION: 13/05/2016 Y FECHA REG. INTERVENCIÓN: 06/05/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1311/2016,241.6,0
Programa de emergencia social,231,22759,13/05/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - Dº CONCESION 1034/2016 - Dº APROBACION 1210/2016,100,0
Material informático no inventariable,926,22002,15/04/2016,A28634046,"ALGORITMOS, PROCESOS Y DISEÑOS, S.A.",02.05.05.02.0018 LIC ACT SOFTWARE SEGURIDAD.CLOUD OFFICE*PROTECTION. 6.50 - A3939252161 - 39252161 / 02.05.05.11.0024 LIC USO SEGURIDAD SUITE. PANDA ENDPOINT*PROTECTION. ADVANCED - A3939252161 - 39252161 - APROBADA POR REC 04/2016 EN PLENO DE 31/03/16 - NUMERO DE FAC.: A39/39452132 DE FECHA OPERACION: 31/03/2016 Y FECHA REG. INTERVENCIÓN: 11/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 882/2016,8679.57,0
Material informático no inventariable,926,22002,06/06/2016,A28634046,"ALGORITMOS, PROCESOS Y DISEÑOS, S.A.",CNT 2016/04 - 20 LICENCIAS DE ANTIVIRUS PANDA - APROBADA POR DECRETO  1419/2016 - NUMERO DE FAC.: A42/42461007 DE FECHA OPERACION: 30/05/2016 Y FECHA REG. INTERVENCIÓN: 18/05/2016 Y DECRETO PAGO 1420/2016,1097.47,0
Pagas anticipadas y demás préstamos al personal,9202,83000,12/08/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,PRESTAMO PERSONL LUIS MIGUEL ALMARZA CASTRO SEGUN DECRETO 2045/2016,2000,0
Auditoría e inventario informático,926,22771,13/12/2016,A79153920,ALTEN,MN 2015/91 - Servicio de auditoría e inventario - APROBADA POR DECRETO Nº 2.935/2016 - NUMERO DE FAC.: Emit16-/553 DE FECHA OPERACION: 02/12/2016 Y FECHA REG. INTERVENCIÓN: 25/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2936/2016,19823.43,0
Plan de subvenciones locales,338,48015,31/03/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,SUBVENCIONES PARTICIPACION CARROZAS Y COMPARSAS DE NAVIDAD SEGUN ACUERDO DE JGL DE 18/11/2015 PEÑA ARROYADORES - APROBADO POR DECRETO 700/201,141.57,0
Plan de subvenciones locales,338,48015,26/04/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,SUBVENCION CONCURSO DE DISFRACES CARNAVAL 2016. PEÑA ARROYADORES. APROBADO POR DECRETO 954/2016,300,0
Plan de subvenciones locales,338,48015,24/06/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,SUBVENCION PARTICIPACION CONCURSO DE AUTOS LOCOS FIESTAS DEL CORPUS 2016 - PEÑA ARROYADORES - APROBADO POR DECRETO 1554/2016,48.84,0
Fiestas y eventos populares municipales,338,22735,05/02/2016,J87047908,AMBULANCIAS SAN JOSE S.C.,COBERTURA SANITARIA A LA FIESTA DE REYES DIA 05/01/2016 - APROBADO Dº 155/2016 - NUMERO DE FAC.: 2016/004 DE FECHA OPERACION: 20/01/2016 Y FECHA REG. INTERVENCIÓN: 18/01/2016 Y DECRETO DE ORDENACION DEL PAGO Nº 156/2016,500,0
Programa de emergencia social,231,22759,20/04/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS ECONOMICAS SERVICIOS SOCIALES. Dº CONCESION 776/2016 -Dº APROBACION 980/2016 Y DECRETO DE ORDENACION DEL PAGO Nº 981/2016,200,0
Programa de emergencia social,231,22759,12/08/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - DECRETO DE CONCESION 1860/2016- DECRETO DE APROBACION 1983/2016,250,0
Programa de emergencia social,231,22759,14/07/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES Dº CONCESION 1586/2016 - Dº APROBACION 1716/2016,400,0
Plan Local de Mejora y Extensión de Servicios Educativos,320,48003,03/11/2016,G80256597,AMPA C.P. EL TORREON,SUBVENCION AMPA CEIP EL TORREON PARA REALIZAR ACTIVIDADES EXTRAESCOLARES E INVERSION EN LAS INSTALACIONES DE LOS COLEGIOS PUBLICOS - DECRETO 2494/2016,7220,0
AMPA colegio público el Torreón,320,48006,12/07/2016,G80256597,AMPA C.P. EL TORREON,SUBVENCION NOMINATIVA AMPA CEIP EL TORREON AÑO 2016 - APROBADO DECRETO 1709/2016,7500,0
Plan Local de Mejora y Extensión de Servicios Educativos,320,48003,12/07/2016,G84780188,AMPA CEIP FRANCISCO DE ORELLANA,SUBVENCION AMPA CEIP FRANCISCO ORELLANA PARA REALIZAR ACTIVIDADES EXTRAESCOLARES E INVERSION EN LAS INSTALACIONES DE LOS COLEGIOS PUBLICOS -DECRETO 1721/2016,3402,0
AMPA colegio público Fco. de Orellana,320,48004,12/07/2016,G84780188,AMPA CEIP FRANCISCO DE ORELLANA,SUBVENCION NOMINATIVA AMPA CEIP FRANCISCO DE ORELLANA - DECRETO 1724/2016,7500,0
Plan Local de Mejora y Extensión de Servicios Educativos,320,48003,23/02/2016,G85173565,AMPA CEIP LEGAZPI,IR 2/2016. RESTO SUBVENCION AMPA CEIP LEGAZPI 2015 JUSTIFICADA EN 2016. APROBADA SEGUN DECRETO 348/2016,2000,0
Plan Local de Mejora y Extensión de Servicios Educativos,320,48003,12/07/2016,G85173565,AMPA CEIP LEGAZPI,SUBVENCION AMPA CEIP LEGAZPI PARA REALIZAR ACTIVIDADES EXTRAESCOLARES E INVERSION EN LAS INSTALACIONES DE LOS COLEGIOS PUBLICOS - DECRETO 1715/2016,4566,0
AMPA colegio público Legazpi,320,48005,12/07/2016,G85173565,AMPA CEIP LEGAZPI,SUBVENCION NOMINATIVA AMPA CEIP LEGAZPI - DECRETO 1713/2016,5603,0
AMPA colegio público Legazpi,320,48005,20/12/2016,G85173565,AMPA CEIP LEGAZPI,SUBVENCION NOMINATIVA AMPA CEIP LEGAZPI DECRETO 2977/2016,1897,0
AMPA colegio Pasteur,320,48021,29/11/2016,G86891892,AMPA COLEGIO PASTEUR,SUBVENCION NOMINATIVA AMPA COLEGIO PASTEUR - DECRETO 2761/2016,2547.05,0
AMPA IES  Gonzalo Chacón,320,48019,17/06/2016,G86578697,AMPA IES  2 GONZALO CHACON,SUBVENCION NOMINATIVA AMPA IES GONZALO CHACON APROBADO POR DECRETO 1495/2016,1257.87,0
AMPA IES  Gonzalo Chacón,320,48019,12/08/2016,G86578697,AMPA IES  2 GONZALO CHACON,SUBVENCION NOMINATIVA AMPA IES GONZALO CHACON DECRETO 1951/2016,110,0
AMPA IES  Gonzalo Chacón,320,48019,13/12/2016,G86578697,AMPA IES  2 GONZALO CHACON,SUBVENCION NOMINATIVA AMPA IES GONZALO CHACON DECRETO 2837/2016,833.22,0
AMPA IES secundaria,320,48001,12/07/2016,G83096479,AMPA IES GABRIELA MISTRAL,SUBVENCION NOMINATIVA AMPA IES GABRIELA MISTRAL - DECRETO 1719/2016,4566,0
AMPA colegio público Las Castañeras,320,48002,12/08/2016,G83761478,AMPA LAS CASTAÑERAS,SUBVENCION NOMINATIVA AMPA CEIP LAS CASTAÑERAS - APROBADO DECRETO 1950/2016,4042.7,0
AMPA colegio público Las Castañeras,320,48002,13/12/2016,G83761478,AMPA LAS CASTAÑERAS,SUBVENCION NOMINATIVA AMPA CEIP LAS CASTAÑERAS - DECRETO 2820/2016,962.43,0
Plan Local de Mejora y Extensión de Servicios Educativos,320,48003,12/08/2016,G83761478,AMPA LAS CASTAÑERAS,SUBVENCION AMPA CEIP LAS CASTAÑERAS PARA REALIZAR ACTIVIDADES EXTRAESCOLARES E INVERSIÓN EN LAS INSTALACIONES DE LOS COLEGIOS PUBLICOS - APROBADO DECRETO 1947/2016,5768.28,0
Plan Local de Mejora y Extensión de Servicios Educativos,320,48003,13/12/2016,G83761478,AMPA LAS CASTAÑERAS,SUBVENCION AMPA CEIP LAS CASTAÑERAS PARA REALIZAR ACTIVIDADES EXTRAESCOLARES E INVERSIÓN EN LAS INSTALACIONES DE LOS COLEGIOS PUBLICOS - DECRETO 2821/2016,90.02,0
Programa de emergencia social,231,22759,06/06/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS ECONOMICAS SERVICIOS SOCIALES - Dº CONCESION 1177/2016 - Dº APROBACION 1440/2016 Y DECRETO PAGO 1441/2016,300,0
Programa de emergencia social,231,22759,18/03/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDA ECONOMICAS SERVICIOS SOCIALES Dº CONCESION 532/2016 - Dº APROBACION 642/2016,200,0
Programa de emergencia social,231,22759,01/12/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - DECRETO DE CONCESION 2643/2016 - DECRETO DE APROBACION 2844/2016,150,0
Ayudas para libros,320,48026,09/06/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDA LIBROS CURSO 2015/2016 ALEJANDRO PAZOS FERNANDEZ APROBADO POR RE 7/16 DE 30 DE MAYO Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1447/2016,100,0
Programa de emergencia social,231,22759,13/05/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDA ECONOMICA SERVICIOS SOCIALES Dº CONCESION 1060/2016 - Dº APROBACION 1210/2016,120,0
Programa de emergencia social,231,22759,11/11/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES DECRETO 2458/2016 SEGUN DECRETO DE APROBACION NR 2621/2016,200,0
Mantenimiento y reparación de vehículos,130,21400,21/04/2016,B81655433,ANARAF MOTOR S.L.,"REPARACION VEHICULO SEGURIDAD CIUDADANA  MATRICULA 5193HFB, APROBADA CON DECRETO 777/2016 - NUMERO DE FAC.: TC1600091 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 08/03/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 858/2016",77.73,0
Programa de emergencia social,231,22759,18/03/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDA ECONOMICA SERVICIOS SOCIALES Dº CONCESION 336/2016 - Dº APROBACION 642/2016,400,0
Programa de emergencia social,231,22759,11/11/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES DECRETO 2451/2016  SEGUN DECRETO DE APROBACION NR 2621/2016,140,0
Programa de emergencia social,231,22759,20/04/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS ECONOMICAS SERVICIOS SOCIALES Dº CONCESION 762/2016 - Dº APROBACION 980/2016 Y DECRETO DE ORDENACION DEL PAGO Nº 981/2016,150,0
