#Org.,Prog.,Econ.,Denominación,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,,,,,,,,,,,
,151,22100,Urbanismo. Energía eléctrica,,,151,2,25000,0,25000,17061.34
,,,,,,,,,,,
,151,22101,Urbanismo. Agua,,,151,2,1000,0,1000,1845.29
,,,,,,,,,,,
,151,22199,Urbanismo. Otros suministros,,,151,2,1000,0,1000,154.84
,,,,,,,,,,,
,151,22400,Urbanismo. Primas de seguros,,,151,2,3200,0,3200,3002.27
,,,,,,,,,,,
,151,22401,Urbanismo. Primes de seguros de vehículos,,,151,2,3000,0,3000,562.37
,,,,,,,,,,,
,151,22602,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Publicidad y propaganda",,,151,2,0,0,0,368.45
,,,,,,,,,,,
,151,22699,Urbanismo. Otros gastos diversos,,,151,2,4000,0,4000,3192.26
,,,,,,,,,,,
,151,22713,Urbanismo. Control de calidad,,,151,2,1000,0,1000,0
,,,,,,,,,,,
,151,22715,Urbanismo: Limpieza en edificios,,,151,2,26895.15,0,26895.15,24518.83
,,,,,,,,,,,
,151,22716,Urbanismo: Servicio de mensajería,,,151,2,1000,0,1000,2875.42
,,,,,,,,,,,
,151,23101,Urbanismo:  Locomoción del personal,,,151,2,1500,0,1500,843.67
,,,,,,,,,,,
,151,45100,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..IRIS. En cumplimiento de convenio suscrito en materia de realojo Río Guadarrama-",,,151,45100,0,2000000,2000000,0
,,,,,,,,,,,
,151,61108,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Remodelación bulevar",,,151,61108,0,665287.29,665287.29,0
,,,,,,,,,,,
,151,62204,Urbanismo: .Nuevo Centro de Salud,,,151,62204,0,4330.95,4330.95,4272.64
,,,,,,,,,,,
,151,63202,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Reforma edificio Urbanismo c/ Potro",,,151,63202,0,49900,49900,35718.72
,,,,,,,,,,,
,151,68100,Urbanismo: Adecuación y limpieza de parcelas,,,151,68100,0,37348.8,37348.8,36462.53
,,,,,,,,,,,
,155,21002,Vias Públicas Mantenimeinto Infraestructuras Asfaltado,,,155,2,40000,0,40000,10530.75
,,,,,,,,,,,
,155,60906,Vias Públicas APARCAMIENTO C/ CERVANTES,,,155,60906,100000,-41900,58100,58028.39
,,,,,,,,,,,
,160,22723,Alcantarillado.Limpieza alcantarillado,,,160,2,4000,0,4000,2492.3
,,,,,,,,,,,
,1621,22727,Recogida de residuos.Recogida de residuos,,,1621,2,1342228.76,-39094,1303134.76,1085945.6
,,,,,,,,,,,
,1622,22736,Gestión de residuos sólidos urbanos.Mantenimiento punto limpio,,,1622,2,82845.79,0,82845.79,74679.45
,,,,,,,,,,,
,1623,22502,Tratamiento de residuos.Tributos de las Entidades locales,,,1623,2,114000,0,114000,113155.85
,,,,,,,,,,,
,163,22726,Limpieza viaria. Limpieza Viaria,,,163,2,1608624.1,-103314.95,1505309.15,1254424.1
,,,,,,,,,,,
,164,22718,Cementerio y servicios funerarios.Enterramientos,,,164,2,5000,0,5000,3627.99
,,,,,,,,,,,
,165,22112,"Alumbrado público.Suministros de material electrónico, eléctrico y de telecomunicaciones",,,165,2,21780,0,21780,25787.17
,,,,,,,,,,,
,165,22133,Alumbrado público. Suministro materiales mantenimiento alumbrado de edificios,,,165,2,25000,0,25000,7339.46
,,,,,,,,,,,
,165,22706,Alumbrado público..Estudios y trabajos técnicos,,,165,2,0,0,0,4235
,,,,,,,,,,,
,165,22717,Alumbrado público.Mantenimiento instalacciones eléctricas,,,165,2,122220.6,0,122220.6,108625.45
,,,,,,,,,,,
,165,22773,RENOVACION INSTALACIONES ALUMBRADO EXTERIOR MPAL.Asesoramiento para redacción de pliegos,,,165,2,0,18150,18150,7078.5
,,,,,,,,,,,
,171,21100,Parques y jardines. Mantenimiento de jardines por Ayto.,,,171,2,0,85913.35,85913.35,185258.8
,,,,,,,,,,,
,171,21101,Parques y jardines. Mantennimiento jardines (encomienda Emuvisa),,,171,2,1752510,18975.79,1771485.79,1528233.26
,,,,,,,,,,,
,171,21608,Parques y jardines. Gestión de Incidencias en el Equipamiento Urbano,,,171,2,500,0,500,0
,,,,,,,,,,,
,171,22135,"Parques y jardines..Campaña ""Un niño, un arbol""",,,171,2,0,71000,71000,45560.27
,,,,,,,,,,,
,171,61105,Parques y jardines..Adecuación de  rotondas,,,171,61105,0,50000,50000,0
,,,,,,,,,,,
,221,16000,Otras prestaciones económicas a favor de empleados. Seguridad Social,,,221,1,2483640.23,0,2483640.23,1660903.23
,,,,,,,,,,,
,221,16108,Otras prestaciones económicas a favor de empleados. Indemnizaciones al personal por años de servicio en El Ayuntamiento,,,221,1,14200,0,14200,12650
,,,,,,,,,,,
,221,16109,Otras prestaciones económicas a favor de empleados. Complemento Compensación I.L.T.,,,221,1,70000,0,70000,0
,,,,,,,,,,,
,221,16200,Otras prestaciones económicas a favor de empleados. Formación y perfeccionamiento del personal,,,221,1,106920.24,0,106920.24,61037.8
,,,,,,,,,,,
,221,16203,Otras prestaciones económicas a favor de empleados. Ayuda de estudios,,,221,1,71280.16,0,71280.16,0
,,,,,,,,,,,
,221,16204,Otras prestaciones económicas a favor de empleados. Acción social,,,221,1,285120.65,355466.39,640587.04,410066.02
,,,,,,,,,,,
,221,16206,Otras prestaciones económicas a favor de empleados. Prevención de riesgos laborales,,,221,1,51350,0,51350,30700.95
,,,,,,,,,,,
,221,16207,Otras prestaciones económicas a favor de empleados. Reconocimientos y analíticas,,,221,1,11500,0,11500,2915.37
,,,,,,,,,,,
,221,16208,Otras prestaciones económicas a favor de empleados. Plan de pensiones,,,221,1,15512.28,0,15512.28,0
,,,,,,,,,,,
,231,12003,Asistencia social primaria. Sueldos del Grupo C1,,,231,1,1707.69,0,1707.69,0
,,,,,,,,,,,
,231,12004,Asistencia social primaria. Sueldos del Grupo C2,,,231,1,16946.8,0,16946.8,8586.79
,,,,,,,,,,,
,231,12006,Asistencia social primaria. Trienios,,,231,1,759.32,0,759.32,315.12
,,,,,,,,,,,
,231,12100,Asistencia social primaria. Complemento de destino,,,231,1,9895.17,0,9895.17,4892.14
,,,,,,,,,,,
,231,12101,Asistencia social primaria. Complemento específico,,,231,1,19866.69,0,19866.69,7064.52
,,,,,,,,,,,
,231,13100,Asistencia social primaria. Salario Base,,,231,1,69921.89,0,69921.89,64672.81
,,,,,,,,,,,
,231,13102,Asistencia social primaria. Otras Remuneraciones,,,231,1,114406.18,0,114406.18,108336.93
,,,,,,,,,,,
,231,13106,Asistencia social primaria. Trienios,,,231,1,10111.92,0,10111.92,8658.77
,,,,,,,,,,,
,231,15100,Asistencia social primaria..Gratificaciones,,,231,1,0,600,600,0
,,,,,,,,,,,
,231,21303,Asistencia social primaria. Mantenimiento aparatos elevadores,,,231,2,287,0,287,260.48
,,,,,,,,,,,
,231,22636,Asistencia social primaria. Otros servicios de Bienestar Social,,,231,2,5000,0,5000,0
,,,,,,,,,,,
,231,22715,Asistencia social primaria. Limpieza en edificios,,,231,2,3402.4,0,3402.4,3072.81
,,,,,,,,,,,
,231,22757,Asistencia social primaria. Programa de Atención Domiciliaria,,,231,2,50677.46,0,50677.46,30825.84
,,,,,,,,,,,
,231,22758,Asistencia social primaria. Programa de Promoción de la Autonomía,,,231,2,24074.54,5626.09,29700.63,12271.42
,,,,,,,,,,,
,231,22759,Asistencia social primaria. Programa de Emergencia Social,,,231,2,50000,0,50000,62056.88
,,,,,,,,,,,
,231,22760,Asistencia social primaria. Programa de Prevención  e Inserción Social,,,231,2,24000,1449.73,25449.73,11597.87
,,,,,,,,,,,
,231,22761,Asistencia social primaria. Programa de Atención al Menor,,,231,2,4130.48,15499.68,19630.16,19278.96
,,,,,,,,,,,
,231,22762,Asistencia social primaria. Programa de Teleasistencia,,,231,2,5000,0,5000,1185.06
,,,,,,,,,,,
,231,23101,Asistencia social primaria..Locomoción del personal,,,231,2,0,0,0,112.42
,,,,,,,,,,,
,231,48000,Asistencia social primaria. Subvención Fundación AMAS SOCIAL,,,231,48000,1500,0,1500,1500
,,,,,,,,,,,
,231,48099,Asistencia social primaria. Otras subvenciones,,,231,48099,5000,0,5000,0
,,,,,,,,,,,
,241,11000,Fomento del empleo. Retribuciones básicas,,,241,1,30300.06,2164.29,32464.35,27616.35
,,,,,,,,,,,
,241,12001,Fomento del empleo. Sueldos del Grupo A2,,,241,1,2221.96,0,2221.96,0
,,,,,,,,,,,
,241,12003,Fomento del empleo. Sueldos del Grupo C1,,,241,1,10181.08,727.23,10908.31,9256.59
,,,,,,,,,,,
,241,12004,Fomento del empleo. Sueldos del Grupo C2,,,241,1,16946.8,605.25,17552.05,7473.9
,,,,,,,,,,,
,241,12006,Fomento del empleo. Trienios,,,241,1,2500.51,178.64,2679.15,2257.65
,,,,,,,,,,,
,241,12100,Fomento del empleo. Complemento de destino,,,241,1,14208.01,706.81,14914.82,8993.43
,,,,,,,,,,,
,241,12101,Fomento del empleo. Complemento específico,,,241,1,28544.7,4764.95,33309.65,18196.21
,,,,,,,,,,,
,241,13000,Fomento del empleo. Retribuciones básicas,,,241,1,15510.74,1107.92,16618.66,14402.96
,,,,,,,,,,,
,241,13002,Fomento del empleo. Otras remuneraciones,,,241,1,18911.12,1350.82,20261.94,17560.66
,,,,,,,,,,,
,241,13006,Fomento del empleo. Trienios,,,241,1,1306,95.27,1401.27,1211.29
,,,,,,,,,,,
,241,13100,Fomento del empleo. Salario Base,,,241,1,27119.96,15779.99,42899.95,45186.46
,,,,,,,,,,,
,241,13102,Fomento del empleo. Otras Remuneraciones,,,241,1,31228.2,22599.74,53827.94,68554.18
,,,,,,,,,,,
,241,13106,Fomento del empleo. Trienios,,,241,1,2458.23,175.6,2633.83,1420.91
,,,,,,,,,,,
,241,14309,Fomento del empleo..Personal  Insercción Laboral,,,241,1,0,24000,24000,23924.04
,,,,,,,,,,,
,241,15000,Fomento del empleo. Productividad,,,241,15000,2020,0,2020,0
,,,,,,,,,,,
,241,15100,Fomento del empleo. Gratificaciones,,,241,15100,5555,-4789.59,765.41,765.41
,,,,,,,,,,,
,241,20601,Fomento del empleo..Alquiler equipos para procesos información fotocopiadoras,,,241,2,0,0,0,90.75
,,,,,,,,,,,
,241,21301,"Fomento del empleo. Mantenimiento, maquinaria, instalacciones y utillaje",,,241,2,3000,0,3000,431.51
,,,,,,,,,,,
,241,22100,Fomento del empleo. Energía eléctrica,,,241,2,6000,0,6000,6041.59
,,,,,,,,,,,
,241,22101,Fomento del empleo..Agua,,,241,2,500,0,500,0
,,,,,,,,,,,
,241,22106,Fomento del empleo. Productos farmacéuticos y material sanitario,,,241,2,300,0,300,0
,,,,,,,,,,,
,241,22126,Fomento del empleo..Suministros Cursos de Formación para el Empleo,,,241,2,10000,0,10000,0
,,,,,,,,,,,
,241,22199,Fomento del empleo. Otros suministros,,,241,2,500,0,500,107.39
,,,,,,,,,,,
,241,22402,Fomento del empleo. Primas de seguros empleo,,,241,2,6600,0,6600,3711.04
,,,,,,,,,,,
,241,22602,Fomento del empleo. Publicidad y propaganda,,,241,2,8000,0,8000,145.48
,,,,,,,,,,,
,241,22607,Fomento del empleo. Oposiciones y pruebas selectivas,,,241,2,12000,0,12000,0
,,,,,,,,,,,
,241,22630,Fomento del empleo. Promoción del Empleo,,,241,2,20000,0,20000,0
,,,,,,,,,,,
,241,22646,Fomento del empleo..Otros gastos Cursos de Formación para el Empleo,,,241,2,12000,0,12000,0
,,,,,,,,,,,
,241,22650,Fomento del empleo. Formacion personal trabajadores temporales de colaboracion social,,,241,2,4000,-2267.1,1732.9,0
,,,,,,,,,,,
,241,22699,Fomento del empleo. Otros gastos diversos,,,241,2,2000,0,2000,778.09
,,,,,,,,,,,
,241,22715,Fomento del empleo. Limpieza en edificios,,,241,2,12078.48,998.1,13076.58,11983.1
,,,,,,,,,,,
,241,22716,Fomento del empleo..Servicio de mensajería,,,241,2,0,0,0,266.2
,,,,,,,,,,,
,241,22742,Fomento del empleo..Formación,,,241,2,0,10417.6,10417.6,10417.6
,,,,,,,,,,,
,241,23101,Fomento del empleo. Locomoción del personal,,,241,2,1000,0,1000,166.18
,,,,,,,,,,,
,241,23301,Fomento del empleo..Otras indemnizaciones al personal,,,241,2,0,0,0,18030.36
,,,,,,,,,,,
,241,62500,Fomento del empleo..Mobiliario,,,241,62500,0,2267.1,2267.1,0
,,,,,,,,,,,
,242,14302,PLAN DE EMPLEO JOVEN C.M..Profesorado Plan Empleo Joven C.M.,,,242,1,0,16000,16000,12795.7
,,,,,,,,,,,
,242,14303,PLAN DE EMPLEO JOVEN C.M..Jóvenes cualificados plan empleo joven C.M.,,,242,1,0,54732.24,54732.24,36904.18
,,,,,,,,,,,
,242,14304,PLAN DE EMPLEO JOVEN C.M..Apredices Plan Empleo Joven C.M.,,,242,1,0,185941.6,185941.6,136975.25
,,,,,,,,,,,
,242,16000,PLAN DE EMPLEO JOVEN C.M..Seguridad Social,,,242,1,0,34926.16,34926.16,0
,,,,,,,,,,,
,242,22104,PLAN DE EMPLEO JOVEN C.M..Vestuario,,,242,2,0,0,0,7286.71
,,,,,,,,,,,
,242,22126,PLAN DE EMPLEO JOVEN C.M..Suministros Cursos de Formación para el Empleo,,,242,2,0,57000,57000,2522.81
,,,,,,,,,,,
,242,22199,PLAN DE EMPLEO JOVEN C.M..Otros suministros,,,242,2,0,11700,11700,2702.66
,,,,,,,,,,,
,242,22408,PLAN DE EMPLEO JOVEN C.M..Seguros para Cursos de Formación para el Empleo,,,242,2,0,500,500,0
,,,,,,,,,,,
,313,12100,Acciones Públicas relativas a la Salud Complemento de destino,,,313,1,4313.84,0,4313.84,0
,,,,,,,,,,,
,313,12101,Acciones Públicas relativas a la Salud Complemento específico,,,313,1,8678,0,8678,0
,,,,,,,,,,,
,313,20401,Acciones Públicas relativas a la Salud LEASING AMBULANCIA MUNICIPAL,,,313,2,30000,-25000,5000,0
,,,,,,,,,,,
,313,22400,Acciones Públicas relativas a la Salud Primas de seguros,,,313,2,3000,0,3000,2541.73
,,,,,,,,,,,
,313,22606,"Acciones Públicas relativas a la Salud Reuniones, conferencias y cursos",,,313,2,3000,0,3000,0
,,,,,,,,,,,
,313,22699,Acciones Públicas relativas a la Salud Otros gastos diversos,,,313,2,5000,0,5000,0
,,,,,,,,,,,
,313,22711,Acciones Públicas relativas a la Salud Recogida y control de animales,,,313,2,39335.24,0,39335.24,30820.93
,,,,,,,,,,,
,313,22712,Acciones Públicas relativas a la Salud Controles higiénico sanitarios,,,313,2,5000,0,5000,1790.6
,,,,,,,,,,,
,313,22725,Acciones Públicas relativas a la Salud Desinfección desratización y palomas,,,313,2,15000,0,15000,11293.32
,,,,,,,,,,,
,320,12003,Administración general de educación. Sueldos del Grupo C1,,,320,1,1707.69,0,1707.69,0
,,,,,,,,,,,
,320,12004,Educación. Sueldos del Grupo C2,,,320,1,16946.8,0,16946.8,8638.87
,,,,,,,,,,,
,320,12006,Educación. Trienios,,,320,1,1012.42,0,1012.42,938.8
,,,,,,,,,,,
,320,12100,Educación. Complemento de destino,,,320,1,9895.17,0,9895.17,4478.02
,,,,,,,,,,,
,320,12101,Educación. Complemento específico,,,320,1,19866.69,0,19866.69,8860.56
,,,,,,,,,,,
,320,13000,Educación. Salario Base,,,320,1,7755.37,0,7755.37,8709.5
,,,,,,,,,,,
,320,13002,Educación. Otras remuneraciones,,,320,1,13766.3,0,13766.3,12709.63
,,,,,,,,,,,
,320,13006,Educación. Trienios,,,320,1,1523.73,0,1523.73,1415.44
,,,,,,,,,,,
,320,13100,Educación. Salario Base,,,320,1,87101.36,8640,95741.36,84046.62
,,,,,,,,,,,
,320,13102,Administración general de educación. Otras Remuneraciones,,,320,1,8123.32,0,8123.32,13536.73
,,,,,,,,,,,
,320,13106,Educación. Trienios,,,320,1,3001.24,0,3001.24,2780.23
,,,,,,,,,,,
,320,15000,Educación..Productividad,,,320,15000,1626.3,0,1626.3,1449.18
,,,,,,,,,,,
,320,15100,Educación. Gratificaciones,,,320,15100,5000,-3467.44,1532.56,839.62
,,,,,,,,,,,
,320,21206,Educación..Reparación e instalación en colegios,,,320,2,50000,-17967.12,32032.88,18099.18
,,,,,,,,,,,
,320,21301,"Educación. Mant. maquinaria, instal. y utillaje",,,320,2,8000,3603.38,11603.38,10504.52
,,,,,,,,,,,
,320,21303,Educación. Mant. aparatos elevadores,,,320,2,4250.62,0,4250.62,3857.7
,,,,,,,,,,,
,320,22000,Educación. Ordinario no inventariable,,,320,2,1000,0,1000,724.65
,,,,,,,,,,,
,320,22002,"Educación. Material, informático no inventariable",,,320,2,1000,0,1000,989.42
,,,,,,,,,,,
,320,22100,Educación. Energía eléctrica,,,320,2,130000,0,130000,118757.7
,,,,,,,,,,,
,320,22101,Educación. Agua,,,320,2,25000,0,25000,36617.58
,,,,,,,,,,,
,320,22103,Educación. Combustibles y carburantes,,,320,2,85000,0,85000,65977.85
,,,,,,,,,,,
,320,22199,Educación. Otros suministros,,,320,2,12000,1000,13000,5271.23
,,,,,,,,,,,
,320,22400,Educación. Primas de seguros,,,320,2,30000,4100,34100,34017.81
,,,,,,,,,,,
,320,22611,Educación. Taller de cultura enseñanza,,,320,2,16200,-8640,7560,0
,,,,,,,,,,,
,320,22639,Educación. Campañas Escolares,,,320,2,16000,-8100,7900,0
,,,,,,,,,,,
,320,22699,Educación. Otros gastos diversos,,,320,2,6000,0,6000,3186.58
,,,,,,,,,,,
,320,22715,Educación. Limpieza en edificios,,,320,2,317390.69,0,317390.69,277218.57
,,,,,,,,,,,
,320,22751,Administración general de educación..Iluminación y sonido,,,320,2,0,0,0,285.56
,,,,,,,,,,,
,320,22772,Educación..Educación en valores a través del Deporte Alternativo,,,320,22772,0,70785,70785,70785
,,,,,,,,,,,
,320,48001,Educación. AMPA IES Secundaria,,,320,48001,7500,0,7500,4566
,,,,,,,,,,,
,320,48002,Educación. AMPA Colegio público Las Castañeras,,,320,48002,7500,0,7500,5005.13
,,,,,,,,,,,
,320,48003,Educación. Plan Local Mejora y Extensión Servicios Educativos,,,320,48003,40882,2000,42882,28700.3
,,,,,,,,,,,
,320,48004,Educación. AMPA Colegio público Fco. de Orellana,,,320,48004,7500,0,7500,7500
,,,,,,,,,,,
,320,48005,Educación. AMPA Colegio público Legazpi,,,320,48005,7500,0,7500,7500
,,,,,,,,,,,
,320,48006,Educación. AMPA Colegio público el Torreón,,,320,48006,7500,0,7500,7500
,,,,,,,,,,,
